video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/peter/Desktop/视频/原/3.mp4,35,1.167,4,motorcycle,0.327,468.7 349.3 548.0 421.5,,1,1.200,0,0,35.244,28.374
/Users/peter/Desktop/视频/原/3.mp4,35,1.167,3,motorcycle,0.269,0.0 382.5 168.1 475.6,,1,1.200,0,0,35.244,28.374
/Users/peter/Desktop/视频/原/3.mp4,36,1.200,4,motorcycle,0.456,474.2 354.0 554.7 420.6,,0,,0,0,33.117,30.196
/Users/peter/Desktop/视频/原/3.mp4,36,1.200,3,motorcycle,0.281,9.4 383.0 173.1 470.0,,1,1.200,0,0,33.117,30.196
/Users/peter/Desktop/视频/原/3.mp4,37,1.233,4,motorcycle,0.517,481.9 348.4 558.4 420.5,,1,1.200,0,0,33.598,29.763
/Users/peter/Desktop/视频/原/3.mp4,38,1.267,4,motorcycle,0.394,492.1 347.8 561.4 418.4,,1,1.200,0,0,32.787,30.500
/Users/peter/Desktop/视频/原/3.mp4,38,1.267,3,motorcycle,0.255,26.5 377.8 181.0 467.5,,1,1.200,0,0,32.787,30.500
/Users/peter/Desktop/视频/原/3.mp4,39,1.300,4,motorcycle,0.361,496.4 351.7 565.7 418.7,,1,1.200,0,0,41.995,23.812
/Users/peter/Desktop/视频/原/3.mp4,39,1.300,3,motorcycle,0.355,16.0 383.7 186.2 470.2,,1,1.200,0,0,41.995,23.812
/Users/peter/Desktop/视频/原/3.mp4,40,1.333,4,motorcycle,0.507,499.0 358.1 571.2 419.1, ,2,1.200 1.200,1,0,38.599,25.908
/Users/peter/Desktop/视频/原/3.mp4,40,1.333,3,motorcycle,0.431,30.6 372.4 189.2 473.4,,1,1.200,0,0,38.599,25.908
/Users/peter/Desktop/视频/原/3.mp4,41,1.367,4,motorcycle,0.451,507.6 352.6 574.5 415.9,,1,1.200,0,0,32.866,30.426
/Users/peter/Desktop/视频/原/3.mp4,41,1.367,3,motorcycle,0.409,16.0 385.4 193.4 475.7,,1,1.200,0,0,32.866,30.426
/Users/peter/Desktop/视频/原/3.mp4,42,1.400,3,motorcycle,0.469,22.1 385.1 195.4 475.8,,1,1.200,0,0,32.387,30.877
/Users/peter/Desktop/视频/原/3.mp4,42,1.400,4,motorcycle,0.447,511.3 351.4 578.9 416.0,,1,1.200,0,0,32.387,30.877
/Users/peter/Desktop/视频/原/3.mp4,43,1.433,3,motorcycle,0.416,32.9 382.5 200.5 471.2,,1,1.200,0,0,34.966,28.599
/Users/peter/Desktop/视频/原/3.mp4,43,1.433,4,motorcycle,0.352,517.5 344.6 583.0 414.5, ,2,1.200 1.200,1,0,34.966,28.599
/Users/peter/Desktop/视频/原/3.mp4,44,1.467,3,motorcycle,0.576,38.1 379.7 204.9 468.8,,1,1.200,0,0,32.711,30.571
/Users/peter/Desktop/视频/原/3.mp4,44,1.467,4,motorcycle,0.355,521.8 343.4 586.9 415.3, ,2,1.200 1.200,1,1,32.711,30.571
/Users/peter/Desktop/视频/原/3.mp4,45,1.500,3,motorcycle,0.685,51.1 370.3 210.0 465.0,,1,1.200,0,0,33.087,30.223
/Users/peter/Desktop/视频/原/3.mp4,45,1.500,4,motorcycle,0.398,525.2 344.2 590.7 414.3, ,2,1.200 1.200,1,1,33.087,30.223
/Users/peter/Desktop/视频/原/3.mp4,46,1.533,3,motorcycle,0.556,65.3 372.2 211.2 462.5,,1,1.200,0,0,51.470,19.429
/Users/peter/Desktop/视频/原/3.mp4,46,1.533,4,motorcycle,0.388,530.6 348.4 593.2 413.6, ,2,1.200 1.200,1,1,51.470,19.429
/Users/peter/Desktop/视频/原/3.mp4,47,1.567,3,motorcycle,0.647,65.8 370.5 213.9 461.9,,1,1.200,0,0,32.166,31.089
/Users/peter/Desktop/视频/原/3.mp4,47,1.567,4,motorcycle,0.357,539.9 354.3 597.3 411.4,,1,1.200,0,1,32.166,31.089
/Users/peter/Desktop/视频/原/3.mp4,48,1.600,3,motorcycle,0.584,82.3 368.7 217.3 459.6,,1,1.200,0,0,44.437,22.504
/Users/peter/Desktop/视频/原/3.mp4,48,1.600,4,motorcycle,0.363,540.3 344.9 600.7 409.7,,0,,0,1,44.437,22.504
/Users/peter/Desktop/视频/原/3.mp4,49,1.633,3,motorcycle,0.609,87.5 373.3 219.8 458.3,,1,1.200,0,0,33.527,29.826
/Users/peter/Desktop/视频/原/3.mp4,49,1.633,4,motorcycle,0.523,543.0 352.3 604.0 409.9,,1,1.200,0,0,33.527,29.826
/Users/peter/Desktop/视频/原/3.mp4,50,1.667,4,motorcycle,0.585,552.1 350.5 604.8 408.8,,1,1.200,0,0,33.097,30.214
/Users/peter/Desktop/视频/原/3.mp4,50,1.667,3,motorcycle,0.547,88.9 371.9 221.6 457.2,,1,1.200,0,0,33.097,30.214
/Users/peter/Desktop/视频/原/3.mp4,51,1.700,3,motorcycle,0.575,94.1 375.4 224.9 454.9,,1,1.200,0,0,33.366,29.971
/Users/peter/Desktop/视频/原/3.mp4,51,1.700,4,motorcycle,0.436,555.9 350.2 608.9 408.4,,1,1.200,0,0,33.366,29.971
/Users/peter/Desktop/视频/原/3.mp4,52,1.733,3,motorcycle,0.528,101.3 376.2 227.9 456.0,,1,1.200,0,0,33.196,30.124
/Users/peter/Desktop/视频/原/3.mp4,52,1.733,4,motorcycle,0.392,558.8 351.8 606.5 407.6,,1,1.200,0,0,33.196,30.124
/Users/peter/Desktop/视频/原/3.mp4,53,1.767,3,motorcycle,0.579,108.3 377.0 232.3 451.4,,1,1.200,0,0,32.924,30.373
/Users/peter/Desktop/视频/原/3.mp4,54,1.800,3,motorcycle,0.372,114.6 380.1 233.7 452.0,,1,1.200,0,0,50.868,19.659
/Users/peter/Desktop/视频/原/3.mp4,54,1.800,4,motorcycle,0.297,568.4 348.9 613.4 406.7,,1,1.200,0,0,50.868,19.659
/Users/peter/Desktop/视频/原/3.mp4,55,1.833,4,motorcycle,0.396,571.7 364.1 617.2 405.6,,1,1.200,0,0,31.933,31.316
/Users/peter/Desktop/视频/原/3.mp4,56,1.867,4,motorcycle,0.251,573.7 351.4 620.4 404.2,,1,1.200,0,0,45.541,21.958
/Users/peter/Desktop/视频/原/3.mp4,57,1.900,3,motorcycle,0.271,132.3 377.4 237.8 449.3,,1,1.200,0,0,32.502,30.768
/Users/peter/Desktop/视频/原/3.mp4,58,1.933,3,motorcycle,0.513,137.3 376.3 241.2 446.3,,1,1.200,0,0,33.364,29.972
/Users/peter/Desktop/视频/原/3.mp4,59,1.967,3,motorcycle,0.407,144.4 376.8 241.3 445.3,,1,1.200,0,0,45.078,22.184
/Users/peter/Desktop/视频/原/3.mp4,60,2.000,3,motorcycle,0.348,147.1 379.6 241.5 444.0,,1,1.200,0,0,35.820,27.917
/Users/peter/Desktop/视频/原/3.mp4,60,2.000,4,motorcycle,0.311,589.1 343.4 630.0 399.6,,1,1.200,0,0,35.820,27.917
/Users/peter/Desktop/视频/原/3.mp4,63,2.100,4,motorcycle,0.268,599.3 341.6 636.8 397.9,,1,1.200,0,0,33.098,30.213
/Users/peter/Desktop/视频/原/3.mp4,64,2.133,4,motorcycle,0.276,602.3 341.8 638.1 397.0,,1,1.200,0,0,32.939,30.359
/Users/peter/Desktop/视频/原/3.mp4,66,2.200,4,motorcycle,0.309,606.4 340.3 641.8 396.4,,1,1.200,0,0,32.119,31.134
/Users/peter/Desktop/视频/原/3.mp4,67,2.233,4,motorcycle,0.386,606.8 341.1 643.3 396.0,,1,1.200,0,0,33.816,29.571
/Users/peter/Desktop/视频/原/3.mp4,67,2.233,5,motorcycle,0.276,1215.4 379.0 1279.3 472.2,,0,,0,0,33.816,29.571
/Users/peter/Desktop/视频/原/3.mp4,68,2.267,4,motorcycle,0.383,607.5 341.0 645.0 395.2,,1,1.200,0,0,33.787,29.598
/Users/peter/Desktop/视频/原/3.mp4,68,2.267,5,motorcycle,0.369,1212.7 378.4 1279.4 472.7,,0,,0,0,33.787,29.598
/Users/peter/Desktop/视频/原/3.mp4,69,2.300,5,motorcycle,0.368,1211.3 378.4 1279.4 472.5,,0,,0,0,33.006,30.298
/Users/peter/Desktop/视频/原/3.mp4,70,2.333,4,motorcycle,0.359,612.6 339.2 647.3 393.7,,1,1.200,0,0,33.577,29.782
/Users/peter/Desktop/视频/原/3.mp4,70,2.333,5,motorcycle,0.298,1209.4 379.7 1279.4 472.3,,0,,0,0,33.577,29.782
/Users/peter/Desktop/视频/原/3.mp4,71,2.367,5,motorcycle,0.428,1207.8 379.1 1279.4 472.0,,0,,0,0,33.549,29.807
/Users/peter/Desktop/视频/原/3.mp4,71,2.367,4,motorcycle,0.330,614.4 340.9 649.5 392.7,,1,1.200,0,0,33.549,29.807
/Users/peter/Desktop/视频/原/3.mp4,72,2.400,5,motorcycle,0.292,1206.7 379.3 1279.4 473.0,,0,,0,0,33.075,30.235
/Users/peter/Desktop/视频/原/3.mp4,72,2.400,4,motorcycle,0.279,616.0 343.2 651.1 392.3,,1,1.200,0,0,33.075,30.235
/Users/peter/Desktop/视频/原/3.mp4,73,2.433,5,motorcycle,0.439,1204.3 378.3 1279.5 472.2,,0,,0,0,32.797,30.490
/Users/peter/Desktop/视频/原/3.mp4,74,2.467,5,motorcycle,0.283,1202.2 371.2 1279.7 552.0,,0,,0,0,32.896,30.399
/Users/peter/Desktop/视频/原/3.mp4,74,2.467,4,motorcycle,0.258,623.5 343.2 652.6 391.3,,1,1.200,0,0,32.896,30.399
/Users/peter/Desktop/视频/原/3.mp4,75,2.500,6,motorcycle,0.274,193.9 373.9 253.7 427.8,,1,1.200,0,0,32.960,30.340
/Users/peter/Desktop/视频/原/3.mp4,75,2.500,4,motorcycle,0.252,623.9 340.7 655.6 391.0,,1,1.200,0,0,32.960,30.340
/Users/peter/Desktop/视频/原/3.mp4,76,2.533,5,motorcycle,0.354,1203.9 433.9 1279.3 551.3,,0,,0,0,34.084,29.340
/Users/peter/Desktop/视频/原/3.mp4,77,2.567,5,motorcycle,0.587,1196.2 374.0 1279.3 551.4,,0,,0,0,33.471,29.877
/Users/peter/Desktop/视频/原/3.mp4,78,2.600,5,motorcycle,0.468,1183.8 372.9 1279.3 549.7,,0,,0,0,33.077,30.232
/Users/peter/Desktop/视频/原/3.mp4,79,2.633,5,motorcycle,0.340,1168.7 383.0 1279.5 549.9,,0,,0,0,42.708,23.415
/Users/peter/Desktop/视频/原/3.mp4,80,2.667,5,motorcycle,0.748,1152.9 435.6 1279.7 551.4,,1,1.194,0,0,32.870,30.423
/Users/peter/Desktop/视频/原/3.mp4,81,2.700,5,motorcycle,0.575,1138.8 429.6 1279.7 550.7,,1,1.200,0,0,32.931,30.367
/Users/peter/Desktop/视频/原/3.mp4,81,2.700,6,motorcycle,0.370,198.9 349.9 261.1 421.4,,1,1.200,0,0,32.931,30.367
/Users/peter/Desktop/视频/原/3.mp4,82,2.733,5,motorcycle,0.691,1122.7 397.7 1279.6 551.1,,1,1.200,0,0,33.306,30.024
/Users/peter/Desktop/视频/原/3.mp4,83,2.767,5,motorcycle,0.682,1108.9 426.4 1279.7 555.6,,1,1.200,0,0,33.043,30.264
/Users/peter/Desktop/视频/原/3.mp4,83,2.767,6,motorcycle,0.262,200.1 338.6 260.6 419.4,,1,1.200,0,0,33.043,30.264
/Users/peter/Desktop/视频/原/3.mp4,84,2.800,5,motorcycle,0.760,1094.3 421.2 1279.7 552.6,,1,1.200,0,0,34.110,29.317
/Users/peter/Desktop/视频/原/3.mp4,85,2.833,5,motorcycle,0.707,1082.0 433.8 1280.0 550.7,,1,1.200,0,0,35.004,28.569
/Users/peter/Desktop/视频/原/3.mp4,86,2.867,5,motorcycle,0.780,1066.6 426.1 1270.3 550.3,,1,1.200,0,0,34.726,28.797
/Users/peter/Desktop/视频/原/3.mp4,87,2.900,5,motorcycle,0.693,1053.8 414.5 1254.0 551.0,,1,1.200,0,0,32.801,30.487
/Users/peter/Desktop/视频/原/3.mp4,88,2.933,5,motorcycle,0.692,1034.0 380.3 1278.7 550.6,,1,1.200,0,0,32.933,30.365
/Users/peter/Desktop/视频/原/3.mp4,89,2.967,5,motorcycle,0.734,1027.6 411.5 1227.2 548.7,,1,1.200,0,0,33.125,30.189
/Users/peter/Desktop/视频/原/3.mp4,90,3.000,5,motorcycle,0.776,1014.3 414.8 1211.5 549.0,,1,1.200,0,0,33.388,29.951
/Users/peter/Desktop/视频/原/3.mp4,90,3.000,6,motorcycle,0.281,207.8 343.1 259.2 414.0,,1,1.200,0,0,33.388,29.951
/Users/peter/Desktop/视频/原/3.mp4,91,3.033,5,motorcycle,0.842,998.9 414.7 1199.3 548.9,,1,1.200,0,0,32.891,30.404
/Users/peter/Desktop/视频/原/3.mp4,91,3.033,7,motorcycle,0.318,1181.0 371.0 1279.4 473.1,,0,,0,0,32.891,30.404
/Users/peter/Desktop/视频/原/3.mp4,91,3.033,6,motorcycle,0.295,208.8 358.2 259.2 412.7,,1,1.200,0,0,32.891,30.404
/Users/peter/Desktop/视频/原/3.mp4,92,3.067,5,motorcycle,0.801,989.3 420.4 1185.1 546.4,,1,1.200,0,0,43.546,22.964
/Users/peter/Desktop/视频/原/3.mp4,92,3.067,7,motorcycle,0.261,1177.2 369.9 1279.6 472.8,,0,,0,0,43.546,22.964
/Users/peter/Desktop/视频/原/3.mp4,93,3.100,5,motorcycle,0.822,976.2 428.6 1170.5 546.8,,1,1.200,0,0,33.487,29.862
/Users/peter/Desktop/视频/原/3.mp4,93,3.100,6,motorcycle,0.274,210.4 360.7 259.3 410.9,,1,1.200,0,0,33.487,29.862
/Users/peter/Desktop/视频/原/3.mp4,93,3.100,7,motorcycle,0.250,1176.1 368.8 1279.6 474.1,,0,,0,0,33.487,29.862
/Users/peter/Desktop/视频/原/3.mp4,94,3.133,5,motorcycle,0.762,962.7 428.6 1157.0 547.8,,1,1.200,0,0,33.400,29.940
/Users/peter/Desktop/视频/原/3.mp4,94,3.133,7,motorcycle,0.529,1175.3 369.1 1279.6 474.1,,0,,0,0,33.400,29.940
/Users/peter/Desktop/视频/原/3.mp4,94,3.133,6,motorcycle,0.253,210.9 365.2 259.9 410.6,,0,,0,0,33.400,29.940
/Users/peter/Desktop/视频/原/3.mp4,95,3.167,5,motorcycle,0.822,951.9 428.6 1144.7 545.4,,1,1.200,0,0,43.599,22.936
/Users/peter/Desktop/视频/原/3.mp4,95,3.167,7,motorcycle,0.550,1175.5 369.5 1279.6 474.3,,0,,0,0,43.599,22.936
/Users/peter/Desktop/视频/原/3.mp4,95,3.167,6,motorcycle,0.296,212.1 367.3 259.7 410.2,,1,1.200,0,0,43.599,22.936
/Users/peter/Desktop/视频/原/3.mp4,96,3.200,5,motorcycle,0.840,936.6 428.7 1130.6 544.8,,1,1.200,0,0,33.105,30.207
/Users/peter/Desktop/视频/原/3.mp4,96,3.200,7,motorcycle,0.507,1172.7 368.3 1279.7 473.3,,0,,0,0,33.105,30.207
/Users/peter/Desktop/视频/原/3.mp4,97,3.233,5,motorcycle,0.795,927.3 428.8 1115.9 544.0,,1,1.200,0,0,32.722,30.560
