video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/peter/Desktop/视频/原/9.mp4,21,0.700,1,motorcycle,0.280,460.5 351.9 481.9 385.7,,0,,0,0,44.928,22.258
/Users/peter/Desktop/视频/原/9.mp4,22,0.733,1,motorcycle,0.287,460.7 352.0 482.0 385.6,,0,,0,0,40.786,24.518
/Users/peter/Desktop/视频/原/9.mp4,27,0.900,1,motorcycle,0.252,460.2 353.3 482.7 386.5,,0,,0,0,33.554,29.802
/Users/peter/Desktop/视频/原/9.mp4,33,1.100,1,motorcycle,0.268,459.6 352.7 483.8 387.7,,0,,0,0,33.429,29.914
/Users/peter/Desktop/视频/原/9.mp4,34,1.133,1,motorcycle,0.318,459.2 352.2 483.9 388.7,,0,,0,0,50.489,19.806
/Users/peter/Desktop/视频/原/9.mp4,35,1.167,1,motorcycle,0.321,458.6 352.3 483.9 388.9,,0,,0,0,31.130,32.123
/Users/peter/Desktop/视频/原/9.mp4,36,1.200,1,motorcycle,0.290,458.3 352.5 484.2 388.5,,0,,0,0,32.953,30.346
/Users/peter/Desktop/视频/原/9.mp4,37,1.233,1,motorcycle,0.285,458.1 352.5 484.2 388.5,,0,,0,0,33.199,30.121
/Users/peter/Desktop/视频/原/9.mp4,39,1.300,1,motorcycle,0.253,458.0 352.2 484.3 389.1,,0,,0,0,32.919,30.378
/Users/peter/Desktop/视频/原/9.mp4,40,1.333,1,motorcycle,0.279,457.9 352.1 484.4 389.6,,0,,0,0,32.372,30.891
/Users/peter/Desktop/视频/原/9.mp4,41,1.367,1,motorcycle,0.261,457.7 352.3 484.5 390.3,,0,,0,0,33.530,29.824
/Users/peter/Desktop/视频/原/9.mp4,42,1.400,1,motorcycle,0.272,457.4 352.4 484.4 390.6,,0,,0,0,32.443,30.824
/Users/peter/Desktop/视频/原/9.mp4,44,1.467,1,motorcycle,0.291,456.6 352.8 484.7 391.1,,0,,0,0,35.570,28.113
/Users/peter/Desktop/视频/原/9.mp4,45,1.500,1,motorcycle,0.265,456.5 354.8 484.4 391.3,,0,,0,0,47.804,20.919
/Users/peter/Desktop/视频/原/9.mp4,49,1.633,1,motorcycle,0.257,454.5 355.8 484.1 393.7,,0,,0,0,33.419,29.923
/Users/peter/Desktop/视频/原/9.mp4,50,1.667,1,motorcycle,0.264,453.5 356.4 484.0 394.1,,0,,0,0,50.834,19.672
/Users/peter/Desktop/视频/原/9.mp4,51,1.700,1,motorcycle,0.313,453.2 356.5 484.0 394.7,,0,,0,0,31.101,32.153
/Users/peter/Desktop/视频/原/9.mp4,52,1.733,1,motorcycle,0.394,451.7 355.6 483.9 395.8,,0,,0,0,33.033,30.273
/Users/peter/Desktop/视频/原/9.mp4,53,1.767,1,motorcycle,0.381,450.5 355.0 483.4 395.5,,0,,0,0,45.816,21.826
/Users/peter/Desktop/视频/原/9.mp4,54,1.800,1,motorcycle,0.339,450.0 355.3 483.0 395.8,,0,,0,0,32.505,30.764
/Users/peter/Desktop/视频/原/9.mp4,55,1.833,1,motorcycle,0.283,448.5 356.2 482.2 396.1,,0,,0,0,41.813,23.916
/Users/peter/Desktop/视频/原/9.mp4,56,1.867,1,motorcycle,0.379,448.0 355.7 481.4 396.8,,0,,0,0,33.540,29.815
/Users/peter/Desktop/视频/原/9.mp4,57,1.900,1,motorcycle,0.408,446.8 353.7 480.6 397.1,,0,,0,0,32.860,30.432
/Users/peter/Desktop/视频/原/9.mp4,58,1.933,1,motorcycle,0.328,445.6 357.5 479.9 397.3,,0,,0,0,32.342,30.919
/Users/peter/Desktop/视频/原/9.mp4,60,2.000,1,motorcycle,0.254,442.5 355.7 477.9 399.1,,0,,0,0,32.600,30.675
/Users/peter/Desktop/视频/原/9.mp4,61,2.033,1,motorcycle,0.316,441.2 354.1 477.9 399.5,,0,,0,0,32.705,30.576
/Users/peter/Desktop/视频/原/9.mp4,62,2.067,1,motorcycle,0.346,439.7 353.1 477.0 400.4,,0,,0,0,42.895,23.313
/Users/peter/Desktop/视频/原/9.mp4,63,2.100,1,motorcycle,0.389,439.2 353.2 474.6 401.3,,0,,0,0,33.510,29.842
/Users/peter/Desktop/视频/原/9.mp4,64,2.133,1,motorcycle,0.414,437.3 359.5 473.9 403.5,,0,,0,0,32.559,30.713
/Users/peter/Desktop/视频/原/9.mp4,65,2.167,1,motorcycle,0.269,436.0 360.5 474.0 403.9,,0,,0,0,32.265,30.993
/Users/peter/Desktop/视频/原/9.mp4,69,2.300,1,motorcycle,0.382,429.7 358.9 469.4 405.0,,0,,0,0,33.365,29.972
/Users/peter/Desktop/视频/原/9.mp4,70,2.333,1,motorcycle,0.263,428.7 359.4 468.3 405.7,,0,,0,0,32.885,30.409
/Users/peter/Desktop/视频/原/9.mp4,94,3.133,2,motorcycle,0.263,365.7 365.4 424.3 413.9,,0,,0,0,32.564,30.708
/Users/peter/Desktop/视频/原/9.mp4,95,3.167,2,motorcycle,0.272,362.8 367.3 420.8 414.6,,0,,0,0,42.586,23.482
/Users/peter/Desktop/视频/原/9.mp4,99,3.300,2,motorcycle,0.254,349.4 370.4 410.1 416.7,,1,1.200,0,0,32.587,30.687
/Users/peter/Desktop/视频/原/9.mp4,100,3.333,3,motorcycle,0.251,523.0 359.7 547.2 386.9,,0,,0,0,42.342,23.617
/Users/peter/Desktop/视频/原/9.mp4,102,3.400,2,motorcycle,0.344,333.8 370.7 399.7 417.6,,0,,0,0,32.799,30.489
/Users/peter/Desktop/视频/原/9.mp4,103,3.433,2,motorcycle,0.315,332.0 370.7 396.2 417.3,,0,,0,0,33.329,30.004
/Users/peter/Desktop/视频/原/9.mp4,107,3.567,2,motorcycle,0.295,312.4 377.7 384.4 447.1,,0,,0,0,32.675,30.605
/Users/peter/Desktop/视频/原/9.mp4,108,3.600,2,motorcycle,0.278,307.7 379.9 381.7 448.3,,0,,0,0,32.926,30.371
/Users/peter/Desktop/视频/原/9.mp4,111,3.700,4,motorcycle,0.257,467.1 364.2 502.6 391.4,,1,1.200,0,0,32.948,30.351
/Users/peter/Desktop/视频/原/9.mp4,123,4.100,5,motorcycle,0.348,989.7 375.8 1072.3 432.1,,0,,0,0,33.298,30.031
/Users/peter/Desktop/视频/原/9.mp4,125,4.167,5,motorcycle,0.263,1013.6 374.4 1102.2 431.4,,0,,0,0,33.358,29.978
/Users/peter/Desktop/视频/原/9.mp4,154,5.133,6,motorcycle,0.272,90.7 380.4 191.4 469.5,,1,1.200,0,0,32.345,30.916
