epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1384.19,0.91979,0.75194,1.06867,0.83608,0.87609,0.89733,0.57996,0.98227,0.67662,1.1566,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,1428.8,0.92579,0.74382,1.06392,0.85752,0.87555,0.89402,0.58211,0.96672,0.69386,1.1747,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,1473.04,0.91168,0.71632,1.05198,0.85704,0.86433,0.89516,0.57909,0.98652,0.65843,1.18144,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1517.48,0.90858,0.71561,1.05194,0.86294,0.86297,0.89823,0.58855,0.95818,0.62194,1.16164,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1562.13,0.90061,0.69641,1.05046,0.85944,0.84491,0.89233,0.58321,0.98836,0.65126,1.18489,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1606.69,0.8775,0.69271,1.04575,0.85149,0.87816,0.89758,0.59543,0.95483,0.60505,1.16543,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1650.99,0.88765,0.68633,1.04016,0.85065,0.85808,0.88898,0.58806,0.95491,0.63185,1.16243,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,1695.19,0.88543,0.66587,1.04135,0.86603,0.85248,0.89847,0.5863,0.96416,0.61498,1.1619,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,1739.6,0.87813,0.6688,1.03669,0.87619,0.8545,0.8992,0.58636,0.96196,0.62994,1.19146,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,1784.11,0.86229,0.66087,1.03544,0.86536,0.8662,0.90316,0.58831,0.98113,0.59482,1.18522,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,1828.37,0.85733,0.64519,1.03069,0.86175,0.86777,0.90591,0.58855,0.97793,0.58896,1.18092,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,1872.38,0.86092,0.64607,1.04154,0.85252,0.87083,0.90007,0.59003,0.97465,0.64992,1.20134,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,1916.6,0.85554,0.64198,1.02582,0.87871,0.86849,0.89722,0.58825,0.9832,0.59903,1.20345,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,1960.72,0.85494,0.62461,1.03188,0.85103,0.88853,0.89584,0.58702,0.96328,0.59558,1.19942,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,2005.03,0.84365,0.63384,1.0259,0.87724,0.87242,0.90117,0.59052,0.97471,0.58165,1.20269,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,2049.16,0.83749,0.61979,1.02854,0.85406,0.88849,0.90587,0.5937,0.96337,0.5838,1.19041,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,2093.32,0.83277,0.61045,1.01647,0.86106,0.87713,0.90572,0.59715,0.95212,0.59322,1.17635,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,2137.45,0.83463,0.60911,1.01888,0.87368,0.86324,0.90416,0.58957,0.97371,0.62087,1.20187,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,2181.61,0.82144,0.59431,1.0126,0.88564,0.85308,0.90192,0.58973,0.97491,0.57426,1.20494,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,2226.11,0.81204,0.59475,1.01397,0.86277,0.86581,0.90269,0.58734,0.95579,0.59119,1.18634,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,2270.49,0.82279,0.58846,1.01661,0.87871,0.86167,0.90456,0.59469,0.95477,0.58072,1.1783,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,2316.18,0.80416,0.58025,1.00464,0.85086,0.89027,0.89953,0.59522,0.95585,0.58747,1.19159,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,2361.15,0.80758,0.5935,1.01143,0.87984,0.86791,0.90093,0.59701,0.97303,0.5553,1.19613,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,2405.37,0.8029,0.57489,1.01138,0.87942,0.86547,0.9109,0.59198,0.97801,0.58463,1.20346,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,2450.42,0.80071,0.57687,1.01041,0.87982,0.87045,0.90452,0.59448,0.97616,0.59216,1.19625,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,2495.02,0.78657,0.55663,1.00351,0.8762,0.87678,0.90275,0.59943,0.9594,0.54408,1.18589,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,2539.26,0.7903,0.56596,1.00064,0.88507,0.88474,0.90483,0.59381,0.96471,0.55638,1.1991,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,2583.55,0.78592,0.56434,1.00092,0.8664,0.87619,0.90067,0.59807,0.95285,0.57171,1.17277,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,2628.17,0.78314,0.54835,0.99593,0.87056,0.87713,0.90244,0.59328,0.97079,0.57808,1.20687,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,2672.88,0.78429,0.55058,1.0003,0.88073,0.88928,0.90607,0.60128,0.96718,0.57095,1.20652,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,2717.09,0.77319,0.54191,0.9983,0.87836,0.86194,0.90363,0.59934,0.95121,0.56165,1.18491,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,2761.62,0.76692,0.53677,0.98432,0.87022,0.8582,0.89564,0.58791,0.97891,0.58865,1.20598,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
