video,frame,timestamp_sec,rider_track_id,rider_conf,rider_bbox,occupant_count,head_count,helmeted_count,no_helmet_count,matched_occupant_ids,match_scores,raw_overload,confirmed_overload,helmet_status,elapsed_ms,fps
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,66,2.202,M001,0.895,997.1 290.1 1103.9 434.9,1,1,0,1,P002,1.615,0,0,NO_HELMET,28.240,35.410
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,67,2.236,M001,0.912,1000.8 289.3 1105.8 433.8,1,1,0,1,P002,1.618,0,0,NO_HELMET,27.531,36.323
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,68,2.269,M001,0.921,1004.6 286.6 1109.6 433.1,0,0,0,0,,,0,0,UNKNOWN,49.037,20.393
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,69,2.302,M001,0.905,1008.4 285.8 1112.8 430.8,0,0,0,0,,,0,0,UNKNOWN,27.330,36.589
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,70,2.336,M001,0.899,1013.7 285.2 1116.7 429.2,0,0,0,0,,,0,0,UNKNOWN,26.458,37.796
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,71,2.369,M001,0.883,1018.8 284.5 1122.0 427.7,0,0,0,0,,,0,0,UNKNOWN,28.832,34.684
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,72,2.402,M001,0.846,1022.1 284.2 1127.6 425.3,0,0,0,0,,,0,0,UNKNOWN,25.969,38.507
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,73,2.436,M001,0.857,1025.7 285.9 1132.0 424.5,0,0,0,0,,,0,0,UNKNOWN,26.425,37.843
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,74,2.469,M001,0.874,1030.0 287.3 1134.3 422.4,0,0,0,0,,,0,0,UNKNOWN,26.428,37.838
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,75,2.502,M001,0.842,1032.2 283.4 1136.9 423.5,0,0,0,0,,,0,0,UNKNOWN,27.071,36.939
