metric,value
cross.total_frames,360
cross.gt_positive_frames,85
cross.pred_positive_frames,26
cross.tp,26
cross.fp,0
cross.fn,59
cross.tn,275
cross.precision,1.0000
cross.recall,0.3059
cross.f1,0.4685
cross.accuracy,0.8361
cross.false_positive_rate,0.0000
cross.false_negative_rate,0.6941
cross.avg_fps,29.970
cross.avg_elapsed_ms,NA
cross.fps_is_source_fallback,1
association.total_frames,360
association.gt_positive_frames,85
association.pred_positive_frames,73
association.tp,73
association.fp,0
association.fn,12
association.tn,275
association.precision,1.0000
association.recall,0.8588
association.f1,0.9241
association.accuracy,0.9667
association.false_positive_rate,0.0000
association.false_negative_rate,0.1412
association.avg_fps,34.156
association.avg_elapsed_ms,29.277
association.fps_is_source_fallback,0
region.region_bbox,169.7 292.2 936.3 651.1
region.cross_speed_fps,29.970
region.cross_speed_fps_is_source_fallback,1
region.association_speed_fps,35.317
region.association_speed_elapsed_ms,29.463
region.cross_overload_frames,26
region.association_overload_frames,48
region.gt_overload_frames,85
region.association_id_consistency_gt,0.9545
region.association_id_switches_gt,4
region.cross_id_stability_proxy,1.0000
region.cross_id_switch_proxy,0
derived.baseline_label,cross
derived.target_label,association
derived.tracking_improvement_rate_recall,1.8077
derived.tracking_improvement_rate_f1,0.9725
derived.miss_reduction_rate,0.7966
derived.false_positive_rate_reduction,0.0000
