frame,target_id,wjh_id,yolo_id,cross_iou,wjh_overload,yolov8n_overload,final_overload,ever_final_overload,helmet_status,wjh_person_evidence_count,wjh_no_helmet_count,yolov8n_person_count
12,W001|Y001,W001,Y001,0.6180,0,0,0,0,NO_HELMET,1,1,1
13,W001|Y001,W001,Y001,0.6390,0,0,0,0,NO_HELMET,1,1,1
14,W001|Y001,W001,Y001,0.6875,0,0,0,0,NO_HELMET,1,1,1
15,W001|Y001,W001,Y001,0.6755,0,0,0,0,NO_HELMET,1,1,1
16,W001|Y001,W001,Y001,0.6643,0,0,0,0,NO_HELMET,1,1,1
17,W001|Y001,W001,Y001,0.7241,0,0,0,0,NO_HELMET,1,1,1
18,W001|Y001,W001,Y001,0.6184,0,0,0,0,NO_HELMET,1,1,1
19,W001|Y001,W001,Y001,0.6381,0,0,0,0,NO_HELMET,1,1,1
20,W001|Y001,W001,Y001,0.5497,0,0,0,0,NO_HELMET,1,1,1
21,W001|Y001,W001,Y001,0.6120,0,0,0,0,NO_HELMET,1,1,1
22,W001|Y001,W001,Y001,0.7525,0,0,0,0,NO_HELMET,1,1,1
23,W001|Y001,W001,Y001,0.7580,0,0,0,0,NO_HELMET,1,1,1
24,W001|Y001,W001,Y001,0.5091,0,0,0,0,NO_HELMET,1,1,1
25,W001|Y001,W001,Y001,0.5708,0,0,0,0,NO_HELMET,1,1,1
26,W001|Y001,W001,Y001,0.5735,0,0,0,0,NO_HELMET,1,1,1
27,W001|Y001,W001,Y001,0.7031,0,0,0,0,NO_HELMET,1,1,1
28,W001|Y001,W001,Y001,0.5758,0,0,0,0,NO_HELMET,1,1,1
29,W001|Y001,W001,Y001,0.6673,0,0,0,0,NO_HELMET,1,1,1
30,W001|Y001,W001,Y001,0.6814,0,0,0,0,NO_HELMET,1,1,1
31,W001|Y001,W001,Y001,0.6288,0,0,0,0,NO_HELMET,1,1,1
32,W001|Y001,W001,Y001,0.5956,0,0,0,0,NO_HELMET,1,1,1
33,W001|Y001,W001,Y001,0.6105,0,0,0,0,NO_HELMET,1,1,1
34,W001|Y001,W001,Y001,0.7195,0,0,0,0,NO_HELMET,1,1,1
35,W001|Y001,W001,Y001,0.7087,0,0,0,0,NO_HELMET,1,1,1
36,W001|Y001,W001,Y001,0.5972,0,0,0,0,NO_HELMET,1,1,1
37,W001|Y001,W001,Y001,0.5423,0,0,0,0,NO_HELMET,1,1,1
123,W002|Y004,W002,Y004,0.6349,0,1,0,0,NO_HELMET,1,1,2
125,W002|Y004,W002,Y004,0.6242,1,1,1,1,NO_HELMET,2,1,2
126,W002|Y004,W002,Y004,0.6084,1,1,1,1,NO_HELMET,2,1,2
127,W002|Y004,W002,Y004,0.5877,1,0,0,1,NO_HELMET,2,1,1
128,W002|Y004,W002,Y004,0.5765,1,1,1,1,NO_HELMET,2,1,2
129,W002|Y004,W002,Y004,0.6246,1,1,1,1,NO_HELMET,2,2,2
130,W002|Y004,W002,Y004,0.5867,1,1,1,1,NO_HELMET,2,1,2
