frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
15,0.500,yolov8n,1+3+0,bicycle+motorcycle+person,64.806,15.431,35,"bicycle:0, motorcycle:16, person:19"
16,0.533,baseline,0+1+2,ebike+driver+passenger,63.189,15.825,0,"ebike:0, driver:0, passenger:0"
16,0.533,bifpn,0+1+2,ebike+driver+passenger,61.707,16.206,0,"ebike:0, driver:0, passenger:0"
16,0.533,yolov8n,1+3+0,bicycle+motorcycle+person,63.997,15.626,34,"bicycle:0, motorcycle:16, person:18"
17,0.567,baseline,0+1+2,ebike+driver+passenger,62.040,16.119,0,"ebike:0, driver:0, passenger:0"
17,0.567,bifpn,0+1+2,ebike+driver+passenger,63.699,15.699,0,"ebike:0, driver:0, passenger:0"
17,0.567,yolov8n,1+3+0,bicycle+motorcycle+person,64.210,15.574,43,"bicycle:0, motorcycle:21, person:22"
18,0.600,baseline,0+1+2,ebike+driver+passenger,64.554,15.491,0,"ebike:0, driver:0, passenger:0"
18,0.600,bifpn,0+1+2,ebike+driver+passenger,63.110,15.845,0,"ebike:0, driver:0, passenger:0"
18,0.600,yolov8n,1+3+0,bicycle+motorcycle+person,66.587,15.018,41,"bicycle:0, motorcycle:21, person:20"
19,0.633,baseline,0+1+2,ebike+driver+passenger,60.503,16.528,0,"ebike:0, driver:0, passenger:0"
19,0.633,bifpn,0+1+2,ebike+driver+passenger,62.782,15.928,0,"ebike:0, driver:0, passenger:0"
19,0.633,yolov8n,1+3+0,bicycle+motorcycle+person,64.885,15.412,42,"bicycle:0, motorcycle:19, person:23"
20,0.667,baseline,0+1+2,ebike+driver+passenger,60.363,16.566,0,"ebike:0, driver:0, passenger:0"
20,0.667,bifpn,0+1+2,ebike+driver+passenger,59.832,16.714,0,"ebike:0, driver:0, passenger:0"
20,0.667,yolov8n,1+3+0,bicycle+motorcycle+person,64.706,15.454,40,"bicycle:0, motorcycle:16, person:24"
21,0.700,baseline,0+1+2,ebike+driver+passenger,62.317,16.047,0,"ebike:0, driver:0, passenger:0"
21,0.700,bifpn,0+1+2,ebike+driver+passenger,63.272,15.805,0,"ebike:0, driver:0, passenger:0"
21,0.700,yolov8n,1+3+0,bicycle+motorcycle+person,64.779,15.437,39,"bicycle:0, motorcycle:13, person:26"
22,0.733,baseline,0+1+2,ebike+driver+passenger,65.463,15.276,0,"ebike:0, driver:0, passenger:0"
22,0.733,bifpn,0+1+2,ebike+driver+passenger,65.934,15.167,0,"ebike:0, driver:0, passenger:0"
22,0.733,yolov8n,1+3+0,bicycle+motorcycle+person,68.702,14.556,37,"bicycle:0, motorcycle:14, person:23"
23,0.767,baseline,0+1+2,ebike+driver+passenger,65.413,15.287,0,"ebike:0, driver:0, passenger:0"
23,0.767,bifpn,0+1+2,ebike+driver+passenger,65.384,15.294,1,"ebike:1, driver:0, passenger:0"
23,0.767,yolov8n,1+3+0,bicycle+motorcycle+person,66.398,15.061,39,"bicycle:0, motorcycle:17, person:22"
24,0.800,baseline,0+1+2,ebike+driver+passenger,65.054,15.372,0,"ebike:0, driver:0, passenger:0"
24,0.800,bifpn,0+1+2,ebike+driver+passenger,61.107,16.365,0,"ebike:0, driver:0, passenger:0"
24,0.800,yolov8n,1+3+0,bicycle+motorcycle+person,66.405,15.059,32,"bicycle:0, motorcycle:12, person:20"
25,0.833,baseline,0+1+2,ebike+driver+passenger,63.584,15.727,0,"ebike:0, driver:0, passenger:0"
25,0.833,bifpn,0+1+2,ebike+driver+passenger,64.049,15.613,1,"ebike:1, driver:0, passenger:0"
25,0.833,yolov8n,1+3+0,bicycle+motorcycle+person,64.725,15.450,31,"bicycle:0, motorcycle:11, person:20"
26,0.867,baseline,0+1+2,ebike+driver+passenger,63.202,15.822,0,"ebike:0, driver:0, passenger:0"
26,0.867,bifpn,0+1+2,ebike+driver+passenger,62.589,15.977,0,"ebike:0, driver:0, passenger:0"
26,0.867,yolov8n,1+3+0,bicycle+motorcycle+person,66.275,15.089,37,"bicycle:0, motorcycle:13, person:24"
27,0.900,baseline,0+1+2,ebike+driver+passenger,65.589,15.246,0,"ebike:0, driver:0, passenger:0"
27,0.900,bifpn,0+1+2,ebike+driver+passenger,66.453,15.048,0,"ebike:0, driver:0, passenger:0"
27,0.900,yolov8n,1+3+0,bicycle+motorcycle+person,69.947,14.297,32,"bicycle:0, motorcycle:11, person:21"
28,0.933,baseline,0+1+2,ebike+driver+passenger,67.933,14.720,0,"ebike:0, driver:0, passenger:0"
28,0.933,bifpn,0+1+2,ebike+driver+passenger,66.076,15.134,0,"ebike:0, driver:0, passenger:0"
28,0.933,yolov8n,1+3+0,bicycle+motorcycle+person,67.819,14.745,43,"bicycle:0, motorcycle:19, person:24"
29,0.967,baseline,0+1+2,ebike+driver+passenger,67.501,14.815,0,"ebike:0, driver:0, passenger:0"
29,0.967,bifpn,0+1+2,ebike+driver+passenger,65.756,15.208,0,"ebike:0, driver:0, passenger:0"
29,0.967,yolov8n,1+3+0,bicycle+motorcycle+person,68.535,14.591,41,"bicycle:0, motorcycle:18, person:23"
30,1.000,baseline,0+1+2,ebike+driver+passenger,65.489,15.270,0,"ebike:0, driver:0, passenger:0"
30,1.000,bifpn,0+1+2,ebike+driver+passenger,62.879,15.904,0,"ebike:0, driver:0, passenger:0"
30,1.000,yolov8n,1+3+0,bicycle+motorcycle+person,65.739,15.212,38,"bicycle:0, motorcycle:20, person:18"
31,1.033,baseline,0+1+2,ebike+driver+passenger,63.146,15.836,0,"ebike:0, driver:0, passenger:0"
31,1.033,bifpn,0+1+2,ebike+driver+passenger,62.718,15.944,0,"ebike:0, driver:0, passenger:0"
31,1.033,yolov8n,1+3+0,bicycle+motorcycle+person,68.201,14.663,40,"bicycle:0, motorcycle:16, person:24"
32,1.067,baseline,0+1+2,ebike+driver+passenger,65.456,15.278,0,"ebike:0, driver:0, passenger:0"
32,1.067,bifpn,0+1+2,ebike+driver+passenger,64.893,15.410,0,"ebike:0, driver:0, passenger:0"
32,1.067,yolov8n,1+3+0,bicycle+motorcycle+person,68.744,14.547,46,"bicycle:0, motorcycle:25, person:21"
33,1.100,baseline,0+1+2,ebike+driver+passenger,64.706,15.455,0,"ebike:0, driver:0, passenger:0"
33,1.100,bifpn,0+1+2,ebike+driver+passenger,63.740,15.689,0,"ebike:0, driver:0, passenger:0"
33,1.100,yolov8n,1+3+0,bicycle+motorcycle+person,67.971,14.712,45,"bicycle:0, motorcycle:19, person:26"
34,1.133,baseline,0+1+2,ebike+driver+passenger,63.512,15.745,0,"ebike:0, driver:0, passenger:0"
34,1.133,bifpn,0+1+2,ebike+driver+passenger,65.419,15.286,0,"ebike:0, driver:0, passenger:0"
34,1.133,yolov8n,1+3+0,bicycle+motorcycle+person,67.601,14.793,41,"bicycle:0, motorcycle:22, person:19"
35,1.167,baseline,0+1+2,ebike+driver+passenger,64.679,15.461,0,"ebike:0, driver:0, passenger:0"
35,1.167,bifpn,0+1+2,ebike+driver+passenger,64.167,15.584,0,"ebike:0, driver:0, passenger:0"
35,1.167,yolov8n,1+3+0,bicycle+motorcycle+person,67.308,14.857,41,"bicycle:0, motorcycle:22, person:19"
36,1.200,baseline,0+1+2,ebike+driver+passenger,63.756,15.685,1,"ebike:1, driver:0, passenger:0"
36,1.200,bifpn,0+1+2,ebike+driver+passenger,63.732,15.691,0,"ebike:0, driver:0, passenger:0"
36,1.200,yolov8n,1+3+0,bicycle+motorcycle+person,64.853,15.420,45,"bicycle:0, motorcycle:18, person:27"
37,1.233,baseline,0+1+2,ebike+driver+passenger,65.948,15.163,1,"ebike:1, driver:0, passenger:0"
37,1.233,bifpn,0+1+2,ebike+driver+passenger,64.695,15.457,0,"ebike:0, driver:0, passenger:0"
37,1.233,yolov8n,1+3+0,bicycle+motorcycle+person,67.254,14.869,41,"bicycle:0, motorcycle:17, person:24"
38,1.267,baseline,0+1+2,ebike+driver+passenger,69.068,14.478,1,"ebike:1, driver:0, passenger:0"
38,1.267,bifpn,0+1+2,ebike+driver+passenger,65.942,15.165,0,"ebike:0, driver:0, passenger:0"
38,1.267,yolov8n,1+3+0,bicycle+motorcycle+person,69.255,14.439,42,"bicycle:0, motorcycle:17, person:25"
39,1.300,baseline,0+1+2,ebike+driver+passenger,68.269,14.648,1,"ebike:1, driver:0, passenger:0"
39,1.300,bifpn,0+1+2,ebike+driver+passenger,67.057,14.913,0,"ebike:0, driver:0, passenger:0"
39,1.300,yolov8n,1+3+0,bicycle+motorcycle+person,69.295,14.431,43,"bicycle:0, motorcycle:21, person:22"
40,1.333,baseline,0+1+2,ebike+driver+passenger,66.615,15.012,1,"ebike:1, driver:0, passenger:0"
40,1.333,bifpn,0+1+2,ebike+driver+passenger,66.901,14.947,0,"ebike:0, driver:0, passenger:0"
40,1.333,yolov8n,1+3+0,bicycle+motorcycle+person,69.523,14.384,49,"bicycle:0, motorcycle:25, person:24"
41,1.367,baseline,0+1+2,ebike+driver+passenger,67.260,14.868,1,"ebike:1, driver:0, passenger:0"
41,1.367,bifpn,0+1+2,ebike+driver+passenger,66.934,14.940,0,"ebike:0, driver:0, passenger:0"
41,1.367,yolov8n,1+3+0,bicycle+motorcycle+person,71.849,13.918,52,"bicycle:0, motorcycle:28, person:24"
42,1.400,baseline,0+1+2,ebike+driver+passenger,67.422,14.832,1,"ebike:1, driver:0, passenger:0"
42,1.400,bifpn,0+1+2,ebike+driver+passenger,65.008,15.383,0,"ebike:0, driver:0, passenger:0"
42,1.400,yolov8n,1+3+0,bicycle+motorcycle+person,71.338,14.018,46,"bicycle:0, motorcycle:24, person:22"
43,1.433,baseline,0+1+2,ebike+driver+passenger,69.399,14.409,1,"ebike:1, driver:0, passenger:0"
43,1.433,bifpn,0+1+2,ebike+driver+passenger,67.325,14.853,0,"ebike:0, driver:0, passenger:0"
43,1.433,yolov8n,1+3+0,bicycle+motorcycle+person,70.908,14.103,45,"bicycle:0, motorcycle:23, person:22"
44,1.467,baseline,0+1+2,ebike+driver+passenger,68.647,14.567,0,"ebike:0, driver:0, passenger:0"
44,1.467,bifpn,0+1+2,ebike+driver+passenger,67.397,14.837,0,"ebike:0, driver:0, passenger:0"
44,1.467,yolov8n,1+3+0,bicycle+motorcycle+person,69.804,14.326,51,"bicycle:0, motorcycle:26, person:25"
45,1.500,baseline,0+1+2,ebike+driver+passenger,69.467,14.395,0,"ebike:0, driver:0, passenger:0"
45,1.500,bifpn,0+1+2,ebike+driver+passenger,69.465,14.396,0,"ebike:0, driver:0, passenger:0"
45,1.500,yolov8n,1+3+0,bicycle+motorcycle+person,75.244,13.290,42,"bicycle:0, motorcycle:22, person:20"
46,1.533,baseline,0+1+2,ebike+driver+passenger,70.746,14.135,0,"ebike:0, driver:0, passenger:0"
46,1.533,bifpn,0+1+2,ebike+driver+passenger,80.447,12.431,0,"ebike:0, driver:0, passenger:0"
46,1.533,yolov8n,1+3+0,bicycle+motorcycle+person,71.248,14.036,43,"bicycle:0, motorcycle:22, person:21"
47,1.567,baseline,0+1+2,ebike+driver+passenger,72.116,13.866,0,"ebike:0, driver:0, passenger:0"
47,1.567,bifpn,0+1+2,ebike+driver+passenger,70.097,14.266,0,"ebike:0, driver:0, passenger:0"
47,1.567,yolov8n,1+3+0,bicycle+motorcycle+person,71.262,14.033,41,"bicycle:0, motorcycle:22, person:19"
48,1.600,baseline,0+1+2,ebike+driver+passenger,65.745,15.210,0,"ebike:0, driver:0, passenger:0"
48,1.600,bifpn,0+1+2,ebike+driver+passenger,63.318,15.793,0,"ebike:0, driver:0, passenger:0"
48,1.600,yolov8n,1+3+0,bicycle+motorcycle+person,68.548,14.588,38,"bicycle:0, motorcycle:22, person:16"
49,1.633,baseline,0+1+2,ebike+driver+passenger,65.070,15.368,0,"ebike:0, driver:0, passenger:0"
49,1.633,bifpn,0+1+2,ebike+driver+passenger,65.670,15.228,0,"ebike:0, driver:0, passenger:0"
49,1.633,yolov8n,1+3+0,bicycle+motorcycle+person,68.393,14.621,43,"bicycle:0, motorcycle:23, person:20"
50,1.667,baseline,0+1+2,ebike+driver+passenger,65.694,15.222,0,"ebike:0, driver:0, passenger:0"
50,1.667,bifpn,0+1+2,ebike+driver+passenger,65.689,15.223,0,"ebike:0, driver:0, passenger:0"
50,1.667,yolov8n,1+3+0,bicycle+motorcycle+person,66.093,15.130,40,"bicycle:0, motorcycle:22, person:18"
51,1.700,baseline,0+1+2,ebike+driver+passenger,64.374,15.534,0,"ebike:0, driver:0, passenger:0"
51,1.700,bifpn,0+1+2,ebike+driver+passenger,61.799,16.181,0,"ebike:0, driver:0, passenger:0"
51,1.700,yolov8n,1+3+0,bicycle+motorcycle+person,65.417,15.286,41,"bicycle:0, motorcycle:22, person:19"
52,1.733,baseline,0+1+2,ebike+driver+passenger,62.416,16.022,0,"ebike:0, driver:0, passenger:0"
52,1.733,bifpn,0+1+2,ebike+driver+passenger,59.641,16.767,0,"ebike:0, driver:0, passenger:0"
