epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1439.48,1.46089,1.48219,1.63237,0.73967,0.67755,0.72332,0.40099,1.30105,1.18856,1.50523,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,1486.65,1.43854,1.45253,1.60557,0.71349,0.70166,0.7433,0.4209,1.2399,1.08432,1.44276,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,1533.84,1.4296,1.40834,1.59413,0.75955,0.72506,0.77102,0.42514,1.255,1.10477,1.46183,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,1580.54,1.43481,1.41026,1.60368,0.74805,0.69216,0.75918,0.4284,1.22394,1.07921,1.42418,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,1627.71,1.41396,1.38227,1.57048,0.71993,0.75023,0.78341,0.44353,1.21095,1.05735,1.41902,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,1674.39,1.39259,1.36399,1.56802,0.76868,0.67382,0.7536,0.42162,1.23561,1.05849,1.43429,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,1720.27,1.38985,1.35509,1.56501,0.70956,0.72947,0.76118,0.43835,1.24311,1.04741,1.40861,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,1766.38,1.37447,1.31439,1.54182,0.7567,0.70611,0.77257,0.4407,1.2101,1.03165,1.39671,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,1812.98,1.36956,1.30768,1.54474,0.76385,0.73594,0.79977,0.45453,1.18229,0.97058,1.37444,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,1860.11,1.35642,1.30034,1.53695,0.75901,0.73803,0.7888,0.45684,1.18923,0.99275,1.38629,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,1907.17,1.34719,1.27133,1.52735,0.78194,0.71496,0.77582,0.4457,1.19163,0.97191,1.38853,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,1953.95,1.35334,1.28572,1.5333,0.76987,0.73436,0.77895,0.45024,1.19814,0.98,1.38777,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,2001.23,1.3409,1.27058,1.51106,0.74794,0.71366,0.77059,0.44176,1.21438,0.99199,1.40993,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,2048.22,1.32966,1.23752,1.50989,0.78678,0.72497,0.7971,0.46457,1.1735,0.9366,1.36087,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,2095.22,1.32325,1.25437,1.50786,0.78853,0.73391,0.79766,0.4698,1.14758,0.94142,1.35074,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,2142.79,1.31131,1.22245,1.49305,0.74485,0.75106,0.79943,0.46849,1.1766,0.93826,1.3722,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,2191.99,1.31212,1.21696,1.48253,0.74033,0.75204,0.78949,0.46387,1.16274,0.99584,1.3649,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,2239.54,1.30647,1.20304,1.48452,0.80889,0.72074,0.79776,0.46661,1.16605,0.95832,1.35567,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,2286.92,1.29533,1.18725,1.47681,0.7832,0.72673,0.79485,0.46617,1.15911,0.95968,1.3641,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,2334.56,1.27678,1.1782,1.47066,0.80592,0.74312,0.81136,0.47334,1.13669,0.91528,1.33319,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,2381.97,1.28012,1.16096,1.47663,0.75901,0.76681,0.80543,0.47637,1.14562,0.9335,1.33816,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,2428.86,1.26633,1.15465,1.44735,0.78749,0.7627,0.81426,0.47517,1.13904,0.93752,1.33145,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,2476.25,1.27233,1.16105,1.46444,0.79676,0.73444,0.80163,0.46928,1.15451,0.93183,1.33448,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,2523.2,1.27214,1.14571,1.45674,0.78514,0.74554,0.80066,0.46807,1.15115,0.89308,1.34494,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,2569.63,1.25451,1.12869,1.44474,0.79007,0.75004,0.81049,0.47723,1.13317,0.89017,1.3264,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,2616.23,1.24395,1.12068,1.44589,0.79702,0.73817,0.81419,0.48148,1.12871,0.89017,1.32878,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
56,2663.06,1.24899,1.12329,1.44037,0.81231,0.72849,0.80253,0.47656,1.14624,0.88219,1.34026,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
57,2710.71,1.24457,1.10339,1.43258,0.79469,0.76378,0.81545,0.47933,1.11963,0.89456,1.3243,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,2758.82,1.24201,1.09871,1.42836,0.81389,0.74199,0.81198,0.47773,1.13732,0.89265,1.32877,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,2806.81,1.24967,1.10453,1.44856,0.80634,0.73617,0.81469,0.48336,1.12673,0.91947,1.32423,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,2855.74,1.23314,1.08976,1.43195,0.80334,0.75193,0.81041,0.4852,1.12946,0.87968,1.32714,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,2903.36,1.23505,1.0912,1.41987,0.79456,0.75811,0.8063,0.48052,1.14284,0.87211,1.33366,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,2953.79,1.22404,1.08587,1.42909,0.77736,0.78041,0.8168,0.49069,1.11455,0.87032,1.31218,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,3001.9,1.22086,1.05282,1.41863,0.78993,0.77792,0.81701,0.48143,1.13487,0.87492,1.32642,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,3051.95,1.21301,1.06382,1.41484,0.80503,0.7579,0.80636,0.48692,1.11707,0.85911,1.32768,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,3100.75,1.19836,1.03804,1.39623,0.81585,0.75166,0.82239,0.49203,1.10181,0.86394,1.30508,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
66,3149.9,1.19945,1.04216,1.40067,0.80883,0.77889,0.82498,0.49338,1.1194,0.86712,1.32051,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,3197.58,1.21938,1.05105,1.40391,0.82834,0.76137,0.82389,0.49066,1.10418,0.85411,1.3069,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,3244.65,1.20364,1.04269,1.40065,0.79787,0.78503,0.82527,0.49929,1.10041,0.85822,1.30442,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,3291.98,1.18713,1.03459,1.39876,0.82113,0.78222,0.82289,0.49528,1.09917,0.84265,1.30148,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,3339.69,1.19323,1.0486,1.40583,0.7879,0.77685,0.81914,0.49501,1.10167,0.86197,1.30171,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,3387.3,1.18962,1.04026,1.40095,0.8028,0.76274,0.81961,0.49684,1.10101,0.85133,1.30275,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,3434.74,1.18444,1.0186,1.38496,0.79544,0.77162,0.81587,0.49406,1.11427,0.82144,1.31766,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,3481.55,1.17895,1.01279,1.3904,0.82739,0.73647,0.81683,0.49842,1.09637,0.82305,1.29565,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,3528.21,1.1595,0.98984,1.37042,0.79572,0.77393,0.82581,0.49712,1.08558,0.83926,1.29143,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,3575.73,1.17493,0.99001,1.37996,0.81099,0.77918,0.83105,0.4981,1.10006,0.8018,1.30046,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,3623.81,1.17374,0.99711,1.35953,0.81399,0.78454,0.82763,0.50325,1.09727,0.8121,1.29427,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
