video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,31,1.033,4,motorcycle,0.286,1137.1 361.3 1185.4 412.9,0,,0,0,26.944,37.114
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,32,1.067,1,motorcycle,0.620,862.2 376.6 969.5 477.9,1,1.200,0,0,28.026,35.681
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,32,1.067,3,motorcycle,0.519,714.3 363.6 809.9 435.3,1,1.200,0,0,28.026,35.681
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,32,1.067,4,motorcycle,0.267,1137.0 359.5 1185.1 412.9,0,,0,0,28.026,35.681
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,33,1.100,1,motorcycle,0.611,870.3 376.3 975.4 477.2,1,1.200,0,0,28.359,35.263
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,33,1.100,3,motorcycle,0.607,718.7 367.2 812.7 435.0,2,1.200 1.109,1,0,28.359,35.263
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,33,1.100,4,motorcycle,0.276,1137.0 361.5 1185.1 413.0,0,,0,0,28.359,35.263
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,34,1.133,1,motorcycle,0.639,880.2 379.5 977.8 471.7,1,1.200,0,0,27.199,36.766
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,34,1.133,3,motorcycle,0.586,724.0 366.6 815.4 435.3,1,1.200,0,0,27.199,36.766
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,35,1.167,3,motorcycle,0.601,729.2 364.4 818.8 435.1,1,1.200,0,0,29.415,33.997
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,35,1.167,1,motorcycle,0.578,888.0 381.4 986.3 470.1,1,1.200,0,0,29.415,33.997
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,36,1.200,3,motorcycle,0.598,732.7 365.5 821.8 434.2,1,1.200,0,0,36.140,27.670
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,36,1.200,1,motorcycle,0.551,896.2 380.5 992.0 468.7,1,1.200,0,0,36.140,27.670
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,37,1.233,3,motorcycle,0.619,739.2 367.7 825.7 433.2,1,1.200,0,0,30.713,32.559
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,37,1.233,1,motorcycle,0.536,902.4 380.2 996.9 467.2,1,1.200,0,0,30.713,32.559
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,38,1.267,3,motorcycle,0.552,743.3 365.3 828.7 434.0,1,1.200,0,0,28.522,35.061
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,38,1.267,1,motorcycle,0.549,911.1 375.3 1001.5 464.8,1,1.200,0,0,28.522,35.061
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,39,1.300,1,motorcycle,0.616,919.0 373.9 1005.8 463.7,1,1.200,0,0,31.605,31.641
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,39,1.300,3,motorcycle,0.549,749.7 367.3 831.5 434.0,1,1.200,0,0,31.605,31.641
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,40,1.333,1,motorcycle,0.606,923.5 371.2 1009.8 462.2,1,1.200,0,0,27.165,36.812
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,40,1.333,3,motorcycle,0.486,756.1 369.3 833.9 432.1,1,1.200,0,0,27.165,36.812
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,41,1.367,1,motorcycle,0.594,929.5 367.0 1015.4 460.4,1,1.200,0,0,28.757,34.774
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,41,1.367,3,motorcycle,0.565,761.8 367.9 837.2 431.8,1,1.200,0,0,28.757,34.774
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,42,1.400,3,motorcycle,0.578,765.8 367.4 841.5 431.3,1,1.200,0,0,27.149,36.834
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,42,1.400,1,motorcycle,0.566,935.6 373.9 1019.3 459.1,1,1.200,0,0,27.149,36.834
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,43,1.433,1,motorcycle,0.643,941.9 369.2 1023.2 457.2,1,1.200,0,0,27.192,36.776
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,43,1.433,3,motorcycle,0.626,767.8 366.4 844.6 432.7,2,1.200 1.195,1,0,27.192,36.776
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,44,1.467,3,motorcycle,0.701,776.4 365.8 846.9 431.2,1,1.200,0,0,28.184,35.481
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,44,1.467,1,motorcycle,0.643,948.3 369.9 1026.2 454.8,0,,0,0,28.184,35.481
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,45,1.500,1,motorcycle,0.668,953.0 372.7 1027.4 453.4,1,1.200,0,0,29.121,34.339
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,45,1.500,3,motorcycle,0.631,778.5 365.1 849.4 430.1,0,,0,0,29.121,34.339
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,46,1.533,3,motorcycle,0.562,784.5 371.0 852.9 430.2,1,1.200,0,0,30.773,32.496
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,46,1.533,1,motorcycle,0.547,959.8 372.8 1035.6 451.9,0,,0,0,30.773,32.496
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,47,1.567,1,motorcycle,0.621,965.2 369.8 1038.3 448.0,0,,0,0,31.332,31.916
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,47,1.567,3,motorcycle,0.599,786.5 366.0 855.9 430.2,0,,0,0,31.332,31.916
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,48,1.600,1,motorcycle,0.606,968.5 371.4 1041.9 448.7,1,1.200,0,0,30.737,32.534
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,48,1.600,3,motorcycle,0.539,792.5 370.3 858.2 429.7,1,1.200,0,0,30.737,32.534
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,49,1.633,3,motorcycle,0.580,796.5 367.0 863.5 429.2,1,1.200,0,0,31.158,32.095
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,49,1.633,1,motorcycle,0.554,973.8 371.3 1041.5 447.4,0,,0,0,31.158,32.095
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,49,1.633,5,motorcycle,0.264,1134.0 348.4 1181.0 411.7,0,,0,0,31.158,32.095
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,50,1.667,1,motorcycle,0.514,980.0 370.5 1048.5 445.1,0,,0,0,28.969,34.520
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,50,1.667,3,motorcycle,0.488,799.4 372.0 865.0 428.2,1,1.200,0,0,28.969,34.520
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,51,1.700,3,motorcycle,0.415,802.2 362.4 867.6 428.0,0,,0,0,28.533,35.047
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,51,1.700,1,motorcycle,0.367,983.3 379.5 1039.1 446.9,0,,0,0,28.533,35.047
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,52,1.733,3,motorcycle,0.424,805.3 363.4 872.6 429.8,1,1.200,0,0,29.164,34.289
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,52,1.733,1,motorcycle,0.385,989.5 373.1 1047.9 443.6,0,,0,0,29.164,34.289
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,52,1.733,6,motorcycle,0.298,1007.6 364.0 1059.0 426.7,0,,0,0,29.164,34.289
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,53,1.767,3,motorcycle,0.473,810.0 362.4 874.2 427.0,0,,0,0,30.674,32.601
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,53,1.767,1,motorcycle,0.333,993.9 367.4 1058.8 441.7,0,,0,0,30.674,32.601
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,54,1.800,3,motorcycle,0.548,815.8 371.3 877.2 428.0,2,1.200 1.158,1,0,30.323,32.978
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,54,1.800,1,motorcycle,0.447,998.8 369.7 1061.3 439.3,0,,0,0,30.323,32.978
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,55,1.833,3,motorcycle,0.596,817.9 371.3 880.9 425.6,1,1.200,0,0,44.811,22.316
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,55,1.833,1,motorcycle,0.444,1002.6 372.7 1062.1 439.2,0,,0,0,44.811,22.316
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,56,1.867,3,motorcycle,0.482,820.3 365.5 884.5 424.4,0,,0,0,26.871,37.215
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,57,1.900,3,motorcycle,0.465,823.8 360.9 887.0 426.7,1,1.200,0,0,28.833,34.682
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,57,1.900,1,motorcycle,0.314,1012.5 372.2 1062.5 437.4,0,,0,0,28.833,34.682
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,58,1.933,3,motorcycle,0.429,827.2 366.3 891.0 423.8,1,1.200,0,0,28.066,35.630
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,59,1.967,3,motorcycle,0.428,832.8 370.7 894.5 425.8,1,1.196,0,0,26.276,38.058
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,59,1.967,1,motorcycle,0.284,1019.7 364.7 1099.9 436.2,0,,0,0,26.276,38.058
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,60,2.000,3,motorcycle,0.431,833.8 363.1 898.1 427.2,1,1.200,0,0,27.366,36.541
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,61,2.033,1,motorcycle,0.526,1028.3 356.7 1110.6 431.8,0,,0,0,31.238,32.012
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,61,2.033,3,motorcycle,0.337,836.7 355.7 900.7 425.6,0,,0,0,31.238,32.012
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,62,2.067,3,motorcycle,0.380,840.7 363.5 903.5 424.6,0,,0,0,28.311,35.322
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,63,2.100,3,motorcycle,0.481,844.3 361.0 907.2 422.2,1,1.200,0,0,28.080,35.612
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,64,2.133,3,motorcycle,0.492,846.4 361.9 909.6 422.4,0,,0,0,27.008,37.027
