frame,wjh_overload_count,yolov8n_overload_count,matched_target_count,final_overload,final_target_ids,helmet_statuses,roi
0,0,1,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
1,0,0,0,0,,,40 336 905 702
2,0,0,0,0,,,40 336 905 702
3,0,1,1,0,,W002|Y001:NO_HELMET,40 336 905 702
4,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
5,0,1,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
6,0,1,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
7,0,1,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
8,0,1,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
9,0,2,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
10,0,0,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
11,0,2,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
12,1,2,2,1,W001|Y002,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
13,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
14,1,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
15,1,0,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
16,0,0,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
17,0,0,2,0,,W001|Y002:NO_HELMET W002|Y001:NO_HELMET,40 336 905 702
18,0,0,2,0,,W001|Y002:NO_HELMET W002|Y001:HELMETED,40 336 905 702
19,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
20,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
21,0,0,2,0,,W001|Y002:NO_HELMET W002|Y001:HELMETED,40 336 905 702
22,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
23,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
24,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
25,1,1,1,1,W001|Y002,W001|Y002:NO_HELMET,40 336 905 702
26,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
27,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
28,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
29,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
30,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
31,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
32,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
33,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
34,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
35,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
36,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
37,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
38,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
39,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
40,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
41,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
42,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
43,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
44,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
45,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
46,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
47,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
48,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
49,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
50,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
51,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
52,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
53,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
54,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
55,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
56,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
57,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
58,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
59,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
60,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
61,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
62,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
63,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
64,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
65,0,1,1,0,,W001|Y002:NO_HELMET,40 336 905 702
66,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
67,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
68,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
69,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
70,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
71,0,0,1,0,,W001|Y002:NO_HELMET,40 336 905 702
