frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
35,1.167,M001,motorcycle,0.807,561.7 352.6 692.0 473.9,P002,1,1.450,0,1,26.434,37.831
35,1.167,M004,motorcycle,0.293,1124.6 329.9 1263.8 408.3,P005,1,1.541,0,0,26.434,37.831
36,1.200,M001,motorcycle,0.770,559.0 351.8 690.2 472.9,P002,1,1.450,0,1,26.943,37.115
36,1.200,M004,motorcycle,0.419,1119.7 329.1 1260.4 404.2,P005,1,1.530,0,0,26.943,37.115
37,1.233,M001,motorcycle,0.755,557.0 353.0 689.1 469.7,,0,,0,1,26.097,38.319
38,1.267,M001,motorcycle,0.731,556.2 357.2 685.0 469.8,,0,,0,1,26.362,37.934
39,1.300,M001,motorcycle,0.691,554.9 355.5 681.5 469.0,P002,1,1.596,0,1,26.300,38.023
40,1.333,M001,motorcycle,0.680,553.5 352.9 677.2 467.8,P002,1,1.564,0,1,27.656,36.159
41,1.367,M001,motorcycle,0.691,552.0 350.0 675.1 467.2,P002,1,1.594,0,1,25.768,38.808
42,1.400,M001,motorcycle,0.677,549.8 351.9 671.8 468.3,P002,1,1.582,0,1,26.614,37.574
43,1.433,M001,motorcycle,0.709,546.9 353.8 669.8 466.8,P002,1,1.586,0,1,26.565,37.644
44,1.467,M001,motorcycle,0.709,544.4 355.0 662.3 463.0,P002,1,1.572,0,1,27.685,36.121
45,1.500,M001,motorcycle,0.682,543.7 362.1 661.9 467.4,P002,1,1.512,0,1,27.356,36.555
46,1.533,M001,motorcycle,0.752,542.1 358.3 657.1 464.4,P002,1,1.562,0,1,28.009,35.702
47,1.567,M001,motorcycle,0.747,538.7 356.5 656.3 462.9,P002 P006,2,1.590 1.303,1,1,26.733,37.407
48,1.600,M001,motorcycle,0.755,535.3 356.5 655.0 461.6,P002 P006,2,1.596 1.301,1,1,27.293,36.640
49,1.633,M001,motorcycle,0.636,534.1 356.5 652.9 460.5,P002 P006,2,1.575 1.306,1,1,28.323,35.307
50,1.667,M001,motorcycle,0.549,532.0 362.0 647.6 459.9,P002 P006,2,1.560 1.272,1,1,27.652,36.164
51,1.700,M001,motorcycle,0.415,528.7 361.8 640.8 458.4,P002 P006,2,1.580 1.269,1,1,27.242,36.708
52,1.733,M001,motorcycle,0.387,525.9 364.3 637.9 459.3,P002 P006,2,1.562 1.233,1,1,27.657,36.157
53,1.767,M001,motorcycle,0.523,524.5 362.6 635.2 459.0,P002 P006,2,1.599 1.247,1,1,26.380,37.907
54,1.800,M001,motorcycle,0.581,522.8 362.7 634.3 459.2,P002 P006,2,1.597 1.234,1,1,27.591,36.244
55,1.833,M001,motorcycle,0.660,520.0 363.9 632.2 458.2,P002 P006,2,1.580 1.209,1,1,27.966,35.757
56,1.867,M001,motorcycle,0.698,518.0 363.1 630.9 456.6,P002 P006,2,1.527 1.206,1,1,27.866,35.885
57,1.900,M001,motorcycle,0.694,514.7 365.6 628.9 456.9,P002 P006,2,1.552 1.178,1,1,27.468,36.406
58,1.933,M001,motorcycle,0.718,513.3 367.4 613.7 454.0,P002,1,1.600,0,1,27.240,36.710
59,1.967,M001,motorcycle,0.682,510.9 366.4 609.5 453.3,P002,1,1.585,0,1,29.494,33.905
60,2.000,M001,motorcycle,0.581,508.3 365.0 606.9 450.9,P002,1,1.579,0,1,26.839,37.260
61,2.033,M001,motorcycle,0.641,504.0 365.4 605.9 449.6,P002,1,1.514,0,1,27.225,36.731
62,2.067,M001,motorcycle,0.660,501.8 368.6 601.6 449.3,P002,1,1.596,0,1,28.129,35.550
63,2.100,M001,motorcycle,0.649,499.8 368.0 597.5 448.8,P002,1,1.584,0,1,28.210,35.448
64,2.133,M001,motorcycle,0.623,496.4 368.3 593.3 446.9,P002,1,1.599,0,1,28.394,35.219
65,2.167,M001,motorcycle,0.655,495.4 369.4 589.9 446.5,P002,1,1.600,0,1,27.545,36.304
66,2.200,M001,motorcycle,0.572,495.3 369.5 586.5 446.8,P002,1,1.581,0,1,28.020,35.689
67,2.233,M001,motorcycle,0.555,491.5 369.4 582.9 446.4,P002,1,1.572,0,1,27.391,36.508
68,2.267,M001,motorcycle,0.544,491.8 369.0 573.6 446.1,P002,1,1.599,0,1,27.303,36.626
69,2.300,M001,motorcycle,0.603,488.4 368.8 570.3 444.6,P002,1,1.590,0,1,26.213,38.149
70,2.333,M001,motorcycle,0.615,487.4 369.3 568.0 444.0,P002,1,1.597,0,1,28.269,35.375
71,2.367,M001,motorcycle,0.644,486.0 366.0 565.8 442.6,P002,1,1.598,0,1,26.789,37.329
72,2.400,M001,motorcycle,0.665,482.5 364.9 562.1 440.2,P002,1,1.600,0,1,26.837,37.263
73,2.433,M001,motorcycle,0.601,483.6 366.7 558.0 438.0,P002,1,1.524,0,1,26.845,37.251
74,2.467,M001,motorcycle,0.593,480.3 363.0 552.9 436.2,P002,1,1.553,0,1,27.929,35.805
75,2.500,M001,motorcycle,0.616,477.6 362.6 551.9 434.2,P002,1,1.548,0,1,26.697,37.457
76,2.533,M001,motorcycle,0.607,475.1 363.0 546.1 434.6,P002,1,1.450,0,1,26.848,37.247
77,2.567,M001,motorcycle,0.562,469.7 364.8 544.2 433.7,P002,1,1.599,0,1,27.307,36.620
78,2.600,M001,motorcycle,0.558,470.6 366.2 538.7 433.9,P002,1,1.584,0,1,27.546,36.303
79,2.633,M001,motorcycle,0.507,469.0 366.5 535.4 432.0,P002,1,1.462,0,1,28.067,35.629
80,2.667,M001,motorcycle,0.545,465.2 354.0 534.2 428.6,P002,1,1.450,0,1,26.308,38.011
81,2.700,M001,motorcycle,0.528,463.0 352.6 530.6 429.3,P002,1,1.600,0,1,28.157,35.515
82,2.733,M001,motorcycle,0.520,462.0 357.1 527.4 429.7,P002,1,1.485,0,1,26.675,37.488
83,2.767,M001,motorcycle,0.532,461.3 362.5 522.0 427.2,P002,1,1.515,0,1,27.565,36.278
84,2.800,M001,motorcycle,0.642,458.3 364.5 519.9 427.6,P002,1,1.450,0,1,28.347,35.277
85,2.833,M001,motorcycle,0.603,456.6 364.9 519.0 425.4,P002,1,1.450,0,1,27.025,37.003
86,2.867,M001,motorcycle,0.597,450.9 359.0 516.1 421.7,P002,1,1.551,0,1,27.423,36.466
87,2.900,M001,motorcycle,0.574,449.3 358.0 513.2 421.9,,0,,0,1,27.098,36.903
88,2.933,M001,motorcycle,0.456,448.2 359.0 508.8 421.3,,0,,0,1,26.459,37.794
89,2.967,M001,motorcycle,0.546,447.3 358.7 505.3 421.7,,0,,0,1,26.780,37.341
90,3.000,M001,motorcycle,0.606,446.5 358.2 503.3 421.8,,0,,0,1,26.755,37.376
91,3.033,M001,motorcycle,0.552,444.2 362.1 501.4 421.3,,0,,0,1,26.348,37.953
92,3.067,M001,motorcycle,0.593,442.8 358.3 499.3 420.9,P002,1,1.540,0,1,25.836,38.705
