video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/peter/Desktop/视频/原/4.mp4,0,0.000,1,motorcycle,0.300,383.2 370.4 496.8 461.2, ,2,1.200 1.200,1,0,35.011,28.562
/Users/peter/Desktop/视频/原/4.mp4,0,0.000,2,motorcycle,0.260,587.1 368.4 727.1 480.8,,1,1.200,0,0,35.011,28.562
/Users/peter/Desktop/视频/原/4.mp4,3,0.100,1,motorcycle,0.296,405.2 363.8 512.4 459.9, ,2,1.200 1.200,1,1,34.223,29.220
/Users/peter/Desktop/视频/原/4.mp4,4,0.133,2,motorcycle,0.293,587.2 367.6 727.3 480.9,,1,1.200,0,0,33.563,29.794
/Users/peter/Desktop/视频/原/4.mp4,5,0.167,2,motorcycle,0.367,586.6 366.7 726.6 481.9,,1,1.200,0,0,35.828,27.911
/Users/peter/Desktop/视频/原/4.mp4,5,0.167,1,motorcycle,0.361,431.6 375.0 526.9 452.5, ,2,1.200 1.200,1,1,35.828,27.911
/Users/peter/Desktop/视频/原/4.mp4,6,0.200,1,motorcycle,0.414,442.6 366.6 534.5 449.5, ,2,1.200 1.200,1,1,50.830,19.673
/Users/peter/Desktop/视频/原/4.mp4,6,0.200,2,motorcycle,0.300,586.5 367.6 727.5 481.2,,1,1.200,0,0,50.830,19.673
/Users/peter/Desktop/视频/原/4.mp4,7,0.233,1,motorcycle,0.584,454.2 367.1 542.1 448.7, ,2,1.200 1.200,1,1,31.653,31.592
/Users/peter/Desktop/视频/原/4.mp4,7,0.233,2,motorcycle,0.410,586.1 367.7 727.6 481.3,,1,1.200,0,0,31.653,31.592
/Users/peter/Desktop/视频/原/4.mp4,8,0.267,1,motorcycle,0.533,464.8 364.6 546.6 445.7, ,2,1.200 1.200,1,1,34.281,29.170
/Users/peter/Desktop/视频/原/4.mp4,8,0.267,2,motorcycle,0.372,587.1 366.1 727.2 480.6,,1,1.200,0,0,34.281,29.170
/Users/peter/Desktop/视频/原/4.mp4,9,0.300,1,motorcycle,0.405,473.6 360.4 552.6 440.8, ,2,1.200 1.200,1,1,33.517,29.836
/Users/peter/Desktop/视频/原/4.mp4,9,0.300,2,motorcycle,0.374,587.2 366.5 727.1 480.3, ,2,1.200 1.163,1,0,33.517,29.836
/Users/peter/Desktop/视频/原/4.mp4,10,0.333,1,motorcycle,0.623,484.4 359.7 558.0 438.7,,1,1.200,0,1,33.290,30.039
/Users/peter/Desktop/视频/原/4.mp4,10,0.333,2,motorcycle,0.512,586.2 365.5 726.2 481.5,,1,1.200,0,0,33.290,30.039
/Users/peter/Desktop/视频/原/4.mp4,11,0.367,1,motorcycle,0.538,492.6 362.4 562.1 436.1, ,2,1.200 1.200,1,1,33.568,29.790
/Users/peter/Desktop/视频/原/4.mp4,11,0.367,2,motorcycle,0.494,586.5 363.5 727.4 480.9, ,2,1.200 1.155,1,0,33.568,29.790
/Users/peter/Desktop/视频/原/4.mp4,12,0.400,2,motorcycle,0.449,586.8 366.7 727.0 480.8, ,2,1.200 1.152,1,1,33.841,29.550
/Users/peter/Desktop/视频/原/4.mp4,12,0.400,1,motorcycle,0.342,500.5 360.9 568.1 432.1, ,2,1.200 1.200,1,1,33.841,29.550
/Users/peter/Desktop/视频/原/4.mp4,13,0.433,2,motorcycle,0.455,586.5 368.3 726.3 480.8,,1,1.200,0,0,33.393,29.946
/Users/peter/Desktop/视频/原/4.mp4,14,0.467,2,motorcycle,0.394,586.3 367.4 725.4 481.2,,1,1.200,0,0,34.635,28.872
/Users/peter/Desktop/视频/原/4.mp4,15,0.500,2,motorcycle,0.501,585.9 363.9 726.2 481.0,,1,1.200,0,0,34.154,29.279
/Users/peter/Desktop/视频/原/4.mp4,15,0.500,1,motorcycle,0.482,523.4 354.0 582.1 425.2,,1,1.200,0,1,34.154,29.279
/Users/peter/Desktop/视频/原/4.mp4,16,0.533,2,motorcycle,0.362,582.2 372.4 724.4 478.2,,1,1.200,0,0,35.101,28.489
/Users/peter/Desktop/视频/原/4.mp4,16,0.533,1,motorcycle,0.276,528.7 355.2 587.2 422.3,,1,1.200,0,1,35.101,28.489
/Users/peter/Desktop/视频/原/4.mp4,17,0.567,1,motorcycle,0.412,537.8 354.0 592.4 420.8,,1,1.200,0,1,34.501,28.985
/Users/peter/Desktop/视频/原/4.mp4,17,0.567,2,motorcycle,0.408,581.0 372.3 723.5 478.5,,1,1.200,0,0,34.501,28.985
/Users/peter/Desktop/视频/原/4.mp4,18,0.600,2,motorcycle,0.408,581.4 371.6 721.7 478.8,,1,1.200,0,0,33.419,29.923
/Users/peter/Desktop/视频/原/4.mp4,18,0.600,1,motorcycle,0.284,542.2 352.6 598.0 417.0,,1,1.200,0,1,33.419,29.923
/Users/peter/Desktop/视频/原/4.mp4,19,0.633,2,motorcycle,0.484,582.4 370.9 721.3 479.4, ,2,1.200 1.075,1,0,34.886,28.665
/Users/peter/Desktop/视频/原/4.mp4,19,0.633,3,motorcycle,0.360,1181.6 338.8 1279.4 414.3,,0,,0,0,34.886,28.665
/Users/peter/Desktop/视频/原/4.mp4,20,0.667,3,motorcycle,0.569,1173.9 340.6 1279.3 414.6,,0,,0,0,33.340,29.994
/Users/peter/Desktop/视频/原/4.mp4,20,0.667,2,motorcycle,0.569,581.8 370.0 720.7 478.7, ,2,1.200 1.151,1,1,33.340,29.994
/Users/peter/Desktop/视频/原/4.mp4,21,0.700,3,motorcycle,0.678,1170.2 334.6 1279.3 414.3,,1,1.200,0,0,33.802,29.584
/Users/peter/Desktop/视频/原/4.mp4,21,0.700,2,motorcycle,0.575,581.6 370.5 720.6 478.1,,1,1.200,0,0,33.802,29.584
/Users/peter/Desktop/视频/原/4.mp4,21,0.700,1,motorcycle,0.338,556.2 353.6 602.9 409.2,,1,1.200,0,1,33.802,29.584
/Users/peter/Desktop/视频/原/4.mp4,22,0.733,2,motorcycle,0.555,576.8 368.7 718.6 477.4, ,2,1.200 1.173,1,1,34.954,28.609
/Users/peter/Desktop/视频/原/4.mp4,22,0.733,3,motorcycle,0.407,1154.5 319.8 1279.3 415.4,,0,,0,0,34.954,28.609
/Users/peter/Desktop/视频/原/4.mp4,23,0.767,2,motorcycle,0.563,574.2 367.1 718.6 476.8, ,2,1.200 1.138,1,1,34.232,29.213
/Users/peter/Desktop/视频/原/4.mp4,24,0.800,2,motorcycle,0.618,574.7 356.1 717.4 480.0, ,2,1.200 1.108,1,1,33.239,30.085
/Users/peter/Desktop/视频/原/4.mp4,25,0.833,2,motorcycle,0.596,574.4 370.9 712.7 476.4, ,2,1.200 1.200,1,1,33.199,30.121
/Users/peter/Desktop/视频/原/4.mp4,26,0.867,2,motorcycle,0.591,573.7 371.6 710.9 475.8, ,2,1.200 1.200,1,1,32.977,30.324
/Users/peter/Desktop/视频/原/4.mp4,27,0.900,2,motorcycle,0.717,573.1 358.0 710.7 478.5,  ,3,1.200 1.200 1.053,1,1,33.074,30.235
/Users/peter/Desktop/视频/原/4.mp4,28,0.933,2,motorcycle,0.745,571.9 358.3 708.5 477.8,  ,3,1.200 1.200 1.051,1,1,32.613,30.662
