frame,target_id,wjh_id,yolo_id,cross_iou,wjh_overload,yolov8n_overload,final_overload,ever_final_overload,helmet_status,wjh_person_evidence_count,wjh_no_helmet_count,yolov8n_person_count
26,W001|Y002,W001,Y002,0.5831,0,1,0,1,NO_HELMET,1,1,2
27,W001|Y002,W001,Y002,0.6893,0,1,0,1,NO_HELMET,1,1,3
28,W001|Y002,W001,Y002,0.6882,0,1,0,1,NO_HELMET,1,1,3
29,W001|Y002,W001,Y002,0.6140,0,1,0,1,NO_HELMET,1,1,3
30,W001|Y002,W001,Y002,0.6320,0,0,0,1,NO_HELMET,1,1,1
31,W001|Y002,W001,Y002,0.6752,0,1,0,1,NO_HELMET,1,1,2
32,W001|Y002,W001,Y002,0.7022,0,0,0,1,NO_HELMET,1,1,1
33,W001|Y002,W001,Y002,0.6981,0,0,0,1,NO_HELMET,1,1,1
34,W001|Y002,W001,Y002,0.7169,0,0,0,1,NO_HELMET,1,1,1
35,W001|Y002,W001,Y002,0.7298,0,0,0,1,NO_HELMET,1,1,1
36,W001|Y002,W001,Y002,0.7192,0,1,0,1,NO_HELMET,0,0,2
37,W001|Y002,W001,Y002,0.6929,0,0,0,1,NO_HELMET,0,0,1
38,W001|Y002,W001,Y002,0.6761,0,0,0,1,NO_HELMET,1,1,1
39,W001|Y002,W001,Y002,0.6652,0,0,0,1,NO_HELMET,1,1,1
40,W001|Y002,W001,Y002,0.6877,0,0,0,1,NO_HELMET,0,0,1
41,W001|Y002,W001,Y002,0.6984,0,0,0,1,NO_HELMET,0,0,1
42,W001|Y002,W001,Y002,0.7263,0,0,0,1,NO_HELMET,1,1,1
43,W001|Y002,W001,Y002,0.7174,0,0,0,1,NO_HELMET,1,1,1
44,W001|Y002,W001,Y002,0.6746,0,1,0,1,NO_HELMET,1,1,2
45,W001|Y002,W001,Y002,0.6667,0,1,0,1,NO_HELMET,1,1,2
46,W001|Y002,W001,Y002,0.6424,0,1,0,1,NO_HELMET,1,1,2
47,W001|Y002,W001,Y002,0.6516,0,1,0,1,NO_HELMET,1,1,2
48,W001|Y002,W001,Y002,0.6795,0,1,0,1,NO_HELMET,1,1,2
49,W001|Y002,W001,Y002,0.6813,0,1,0,1,NO_HELMET,1,1,2
50,W001|Y002,W001,Y002,0.6350,0,1,0,1,NO_HELMET,1,1,2
51,W001|Y002,W001,Y002,0.6137,0,0,0,1,NO_HELMET,1,1,1
52,W001|Y002,W001,Y002,0.5988,0,0,0,1,NO_HELMET,1,1,1
53,W001|Y002,W001,Y002,0.6214,0,0,0,1,NO_HELMET,1,1,1
54,W001|Y002,W001,Y002,0.6232,0,1,0,1,NO_HELMET,1,1,2
55,W001|Y002,W001,Y002,0.6161,0,1,0,1,NO_HELMET,1,1,2
56,W001|Y002,W001,Y002,0.6301,0,0,0,1,NO_HELMET,1,1,1
57,W001|Y002,W001,Y002,0.6037,0,0,0,1,NO_HELMET,1,1,1
58,W001|Y002,W001,Y002,0.5838,0,0,0,1,NO_HELMET,1,1,1
59,W001|Y002,W001,Y002,0.6125,0,0,0,1,NO_HELMET,1,1,1
60,W001|Y002,W001,Y002,0.6066,0,1,0,1,NO_HELMET,1,1,2
61,W001|Y002,W001,Y002,0.6072,0,1,0,1,NO_HELMET,1,1,2
62,W001|Y002,W001,Y002,0.5895,0,1,0,1,NO_HELMET,1,1,2
63,W001|Y002,W001,Y002,0.6017,0,1,0,1,NO_HELMET,0,0,2
64,W001|Y002,W001,Y002,0.5872,0,1,0,1,NO_HELMET,1,1,2
65,W001|Y002,W001,Y002,0.5767,0,1,0,1,NO_HELMET,1,1,2
66,W001|Y002,W001,Y002,0.5742,0,0,0,1,NO_HELMET,0,0,1
67,W001|Y002,W001,Y002,0.5795,0,0,0,1,NO_HELMET,0,0,1
68,W001|Y002,W001,Y002,0.5609,0,0,0,1,NO_HELMET,1,1,1
69,W001|Y002,W001,Y002,0.5865,0,0,0,1,NO_HELMET,1,1,1
70,W001|Y002,W001,Y002,0.5747,0,0,0,1,NO_HELMET,0,0,1
71,W001|Y002,W001,Y002,0.5923,0,0,0,1,NO_HELMET,0,0,1
72,W001|Y002,W001,Y002,0.5718,0,0,0,1,NO_HELMET,0,0,1
73,W001|Y002,W001,Y002,0.5159,0,0,0,1,NO_HELMET,1,1,1
74,W001|Y002,W001,Y002,0.5347,0,0,0,1,NO_HELMET,0,0,1
75,W001|Y002,W001,Y002,0.5514,0,0,0,1,NO_HELMET,1,1,1
76,W001|Y002,W001,Y002,0.5412,0,0,0,1,NO_HELMET,1,1,1
77,W001|Y002,W001,Y002,0.5469,0,0,0,1,NO_HELMET,1,1,1
78,W001|Y002,W001,Y002,0.5119,0,0,0,1,NO_HELMET,1,1,1
79,W001|Y002,W001,Y002,0.4961,0,0,0,1,NO_HELMET,1,1,1
80,W001|Y002,W001,Y002,0.5983,0,0,0,1,NO_HELMET,0,0,1
81,W001|Y002,W001,Y002,0.6350,0,1,0,1,NO_HELMET,0,0,2
82,W001|Y002,W001,Y002,0.5878,0,0,0,1,NO_HELMET,0,0,1
83,W001|Y002,W001,Y002,0.4782,0,0,0,1,NO_HELMET,0,0,1
84,W001|Y002,W001,Y002,0.4863,0,0,0,1,NO_HELMET,0,0,1
85,W001|Y002,W001,Y002,0.4960,0,0,0,1,NO_HELMET,0,0,1
86,W001|Y002,W001,Y002,0.5515,0,1,0,1,NO_HELMET,0,0,2
87,W001|Y002,W001,Y002,0.5366,0,0,0,1,NO_HELMET,0,0,1
88,W001|Y002,W001,Y002,0.5303,0,0,0,1,NO_HELMET,0,0,1
89,W001|Y002,W001,Y002,0.5111,0,0,0,1,NO_HELMET,0,0,1
90,W001|Y002,W001,Y002,0.5111,0,1,0,1,NO_HELMET,0,0,2
91,W001|Y002,W001,Y002,0.4701,0,0,0,1,NO_HELMET,0,0,1
92,W001|Y002,W001,Y002,0.5042,0,0,0,1,NO_HELMET,0,0,1
93,W001|Y002,W001,Y002,0.5741,0,0,0,1,NO_HELMET,0,0,1
94,W001|Y002,W001,Y002,0.5655,0,1,0,1,NO_HELMET,0,0,2
95,W001|Y002,W001,Y002,0.5605,0,1,0,1,NO_HELMET,0,0,2
96,W001|Y002,W001,Y002,0.5317,0,1,0,1,NO_HELMET,0,0,2
97,W001|Y002,W001,Y002,0.5056,0,1,0,1,NO_HELMET,0,0,2
98,W001|Y002,W001,Y002,0.5107,0,1,0,1,NO_HELMET,0,0,2
99,W001|Y002,W001,Y002,0.4807,0,0,0,1,NO_HELMET,1,1,1
100,W001|Y002,W001,Y002,0.4823,0,0,0,1,NO_HELMET,0,0,1
101,W001|Y002,W001,Y002,0.4850,0,0,0,1,NO_HELMET,0,0,1
102,W001|Y002,W001,Y002,0.4740,0,0,0,1,NO_HELMET,0,0,1
103,W001|Y002,W001,Y002,0.5136,0,1,0,1,NO_HELMET,0,0,2
104,W001|Y002,W001,Y002,0.5467,0,0,0,1,NO_HELMET,0,0,1
105,W001|Y002,W001,Y002,0.5535,0,0,0,1,NO_HELMET,0,0,1
106,W001|Y002,W001,Y002,0.4584,0,0,0,1,NO_HELMET,0,0,0
107,W001|Y002,W001,Y002,0.4168,0,0,0,1,NO_HELMET,0,0,1
108,W001|Y002,W001,Y002,0.5113,0,0,0,1,NO_HELMET,0,0,1
109,W001|Y002,W001,Y002,0.4763,0,0,0,1,NO_HELMET,0,0,1
110,W001|Y002,W001,Y002,0.4689,0,0,0,1,NO_HELMET,0,0,1
114,W001|Y002,W001,Y002,0.4773,0,0,0,1,NO_HELMET,0,0,1
115,W001|Y002,W001,Y002,0.4187,0,0,0,1,NO_HELMET,0,0,1
122,W001|Y002,W001,Y002,0.4280,0,0,0,1,NO_HELMET,0,0,1
128,W001|Y002,W001,Y002,0.4912,0,1,0,1,NO_HELMET,0,0,2
129,W001|Y002,W001,Y002,0.4545,0,0,0,1,NO_HELMET,0,0,1
130,W001|Y002,W001,Y002,0.4344,0,1,0,1,NO_HELMET,0,0,2
131,W001|Y002,W001,Y002,0.4704,0,1,0,1,NO_HELMET,0,0,2
132,W001|Y002,W001,Y002,0.4717,0,0,0,1,NO_HELMET,0,0,0
133,W001|Y002,W001,Y002,0.5294,0,0,0,1,NO_HELMET,0,0,0
135,W001|Y002,W001,Y002,0.4882,0,0,0,1,NO_HELMET,0,0,0
136,W001|Y002,W001,Y002,0.5194,0,0,0,1,NO_HELMET,0,0,1
139,W001|Y002,W001,Y002,0.5815,0,0,0,1,NO_HELMET,0,0,1
140,W001|Y002,W001,Y002,0.5653,0,0,0,1,NO_HELMET,0,0,1
141,W001|Y002,W001,Y002,0.5639,0,0,0,1,NO_HELMET,0,0,1
142,W001|Y002,W001,Y002,0.5634,0,0,0,1,NO_HELMET,0,0,1
143,W001|Y002,W001,Y002,0.5652,0,0,0,1,NO_HELMET,0,0,1
145,W001|Y002,W001,Y002,0.5631,0,0,0,1,NO_HELMET,0,0,0
146,W001|Y002,W001,Y002,0.5308,0,0,0,1,NO_HELMET,0,0,0
147,W001|Y002,W001,Y002,0.5524,0,0,0,1,NO_HELMET,0,0,0
149,W001|Y002,W001,Y002,0.5180,0,0,0,1,NO_HELMET,0,0,0
150,W001|Y002,W001,Y002,0.4734,0,0,0,1,NO_HELMET,0,0,0
151,W001|Y002,W001,Y002,0.4869,0,0,0,1,NO_HELMET,0,0,0
152,W001|Y002,W001,Y002,0.4752,0,0,0,1,NO_HELMET,0,0,0
172,W001|Y012,W001,Y012,0.5910,0,0,0,0,UNKNOWN,0,0,1
173,W001|Y012,W001,Y012,0.5154,0,0,0,0,UNKNOWN,0,0,1
192,W001|Y013,W001,Y013,0.5453,0,0,0,0,UNKNOWN,0,0,1
202,W009|Y015,W009,Y015,0.6974,0,0,0,0,NO_HELMET,1,1,0
203,W009|Y015,W009,Y015,0.6127,0,0,0,0,NO_HELMET,1,1,1
204,W009|Y015,W009,Y015,0.6144,0,0,0,0,NO_HELMET,1,1,1
207,W009|Y015,W009,Y015,0.5885,0,0,0,0,NO_HELMET,1,1,1
208,W009|Y015,W009,Y015,0.5809,0,0,0,0,HELMETED,1,0,1
209,W009|Y015,W009,Y015,0.5070,0,0,0,0,HELMETED,1,0,1
210,W009|Y015,W009,Y015,0.5363,0,0,0,0,HELMETED,1,0,1
211,W009|Y015,W009,Y015,0.5264,0,0,0,0,HELMETED,1,0,1
212,W009|Y015,W009,Y015,0.5466,0,0,0,0,NO_HELMET,1,1,1
214,W009|Y015,W009,Y015,0.5534,0,0,0,0,HELMETED,1,0,1
215,W009|Y015,W009,Y015,0.5626,0,0,0,0,NO_HELMET,1,1,1
216,W009|Y015,W009,Y015,0.5236,0,0,0,0,HELMETED,1,0,1
217,W009|Y015,W009,Y015,0.5495,0,0,0,0,HELMETED,1,0,1
218,W009|Y015,W009,Y015,0.5125,0,0,0,0,HELMETED,1,0,1
219,W009|Y015,W009,Y015,0.4998,0,0,0,0,HELMETED,1,0,1
220,W009|Y015,W009,Y015,0.4789,0,0,0,0,HELMETED,1,0,1
221,W009|Y015,W009,Y015,0.5182,0,0,0,0,HELMETED,1,0,1
225,W009|Y015,W009,Y015,0.5039,0,0,0,0,HELMETED,0,0,1
229,W009|Y015,W009,Y015,0.5329,0,0,0,0,HELMETED,0,0,1
230,W009|Y015,W009,Y015,0.6123,0,1,0,0,HELMETED,0,0,3
231,W009|Y015,W009,Y015,0.6368,0,1,0,0,HELMETED,0,0,2
232,W009|Y015,W009,Y015,0.5623,0,0,0,0,HELMETED,0,0,0
233,W009|Y015,W009,Y015,0.5597,0,0,0,0,HELMETED,0,0,1
234,W009|Y015,W009,Y015,0.5315,0,0,0,0,HELMETED,0,0,1
237,W009|Y015,W009,Y015,0.5524,0,0,0,0,HELMETED,0,0,1
240,W009|Y015,W009,Y015,0.4959,0,0,0,0,HELMETED,0,0,1
241,W009|Y015,W009,Y015,0.6101,0,0,0,0,HELMETED,0,0,1
243,W009|Y015,W009,Y015,0.6412,0,0,0,0,HELMETED,0,0,1
249,W009|Y015,W009,Y015,0.5958,0,0,0,0,HELMETED,0,0,0
253,W009|Y015,W009,Y015,0.4913,0,0,0,0,HELMETED,0,0,0
254,W009|Y015,W009,Y015,0.4329,0,0,0,0,HELMETED,0,0,0
255,W009|Y015,W009,Y015,0.4461,0,0,0,0,HELMETED,0,0,0
262,W009|Y015,W009,Y015,0.4601,0,0,0,0,HELMETED,0,0,0
263,W009|Y015,W009,Y015,0.4739,0,0,0,0,HELMETED,0,0,1
264,W009|Y015,W009,Y015,0.4479,0,0,0,0,HELMETED,0,0,1
265,W009|Y015,W009,Y015,0.4465,0,0,0,0,HELMETED,0,0,0
266,W009|Y015,W009,Y015,0.4656,0,0,0,0,HELMETED,0,0,0
269,W009|Y015,W009,Y015,0.3842,0,0,0,0,HELMETED,0,0,0
743,W018|Y040,W018,Y040,0.3547,0,0,0,0,UNKNOWN,0,0,0
744,W018|Y040,W018,Y040,0.6270,0,0,0,0,UNKNOWN,0,0,0
745,W018|Y040,W018,Y040,0.6264,0,0,0,0,UNKNOWN,0,0,0
746,W018|Y040,W018,Y040,0.6551,0,0,0,0,UNKNOWN,0,0,0
747,W018|Y040,W018,Y040,0.6916,0,0,0,0,HELMETED,1,0,1
748,W018|Y040,W018,Y040,0.6220,0,0,0,0,HELMETED,1,0,1
749,W018|Y040,W018,Y040,0.5640,0,0,0,0,HELMETED,1,0,1
750,W018|Y040,W018,Y040,0.5982,0,0,0,0,NO_HELMET,1,1,1
751,W018|Y040,W018,Y040,0.6061,0,0,0,0,HELMETED,1,0,1
752,W018|Y040,W018,Y040,0.6084,0,0,0,0,HELMETED,1,0,1
753,W018|Y040,W018,Y040,0.6181,0,0,0,0,HELMETED,1,0,1
754,W018|Y040,W018,Y040,0.6091,0,0,0,0,HELMETED,1,0,1
755,W018|Y040,W018,Y040,0.6440,0,0,0,0,HELMETED,1,0,1
756,W018|Y040,W018,Y040,0.6601,0,0,0,0,HELMETED,1,0,1
757,W018|Y040,W018,Y040,0.5814,0,0,0,0,HELMETED,1,0,1
758,W018|Y040,W018,Y040,0.5798,0,0,0,0,NO_HELMET,1,1,1
759,W018|Y040,W018,Y040,0.5544,0,0,0,0,NO_HELMET,1,1,1
760,W018|Y040,W018,Y040,0.5822,0,0,0,0,HELMETED,1,0,1
761,W018|Y040,W018,Y040,0.5117,0,0,0,0,HELMETED,1,0,1
762,W018|Y040,W018,Y040,0.6670,0,0,0,0,HELMETED,1,0,1
763,W018|Y040,W018,Y040,0.5470,0,0,0,0,NO_HELMET,1,1,1
764,W018|Y040,W018,Y040,0.5750,0,0,0,0,HELMETED,1,0,1
765,W018|Y040,W018,Y040,0.5997,0,0,0,0,NO_HELMET,1,1,1
766,W018|Y040,W018,Y040,0.6889,0,0,0,0,NO_HELMET,1,1,1
767,W018|Y040,W018,Y040,0.6304,0,0,0,0,HELMETED,1,0,1
768,W018|Y040,W018,Y040,0.6547,0,0,0,0,HELMETED,1,0,1
769,W018|Y040,W018,Y040,0.6295,0,0,0,0,HELMETED,1,0,1
770,W018|Y040,W018,Y040,0.6177,0,0,0,0,HELMETED,1,0,1
771,W018|Y040,W018,Y040,0.6121,0,0,0,0,HELMETED,1,0,1
772,W018|Y040,W018,Y040,0.6464,0,0,0,0,HELMETED,1,0,1
773,W018|Y040,W018,Y040,0.6138,0,0,0,0,HELMETED,1,0,1
774,W018|Y040,W018,Y040,0.6025,0,0,0,0,HELMETED,1,0,1
775,W018|Y040,W018,Y040,0.5810,0,0,0,0,HELMETED,1,0,1
776,W018|Y040,W018,Y040,0.6042,0,0,0,0,HELMETED,1,0,1
777,W018|Y040,W018,Y040,0.5985,0,0,0,0,HELMETED,1,0,1
778,W018|Y040,W018,Y040,0.5925,0,0,0,0,HELMETED,1,0,1
779,W018|Y040,W018,Y040,0.6295,0,1,0,0,HELMETED,1,0,2
780,W018|Y040,W018,Y040,0.6124,0,0,0,0,HELMETED,1,0,1
781,W018|Y040,W018,Y040,0.6253,0,1,0,0,HELMETED,1,0,2
782,W018|Y040,W018,Y040,0.5288,0,1,0,0,HELMETED,1,0,2
783,W018|Y040,W018,Y040,0.5702,0,1,0,0,HELMETED,1,0,2
784,W018|Y040,W018,Y040,0.5297,0,0,0,0,HELMETED,1,0,1
785,W018|Y040,W018,Y040,0.5358,0,0,0,0,HELMETED,1,0,1
786,W018|Y040,W018,Y040,0.4150,0,0,0,0,HELMETED,1,0,1
788,W018|Y040,W018,Y040,0.4447,0,0,0,0,HELMETED,1,0,1
789,W018|Y040,W018,Y040,0.5680,0,0,0,0,HELMETED,1,0,1
790,W018|Y040,W018,Y040,0.4402,0,0,0,0,HELMETED,1,0,1
791,W018|Y040,W018,Y040,0.4998,0,0,0,0,HELMETED,0,0,1
792,W018|Y040,W018,Y040,0.5276,0,0,0,0,HELMETED,0,0,1
793,W018|Y040,W018,Y040,0.5494,0,0,0,0,HELMETED,1,0,1
794,W018|Y040,W018,Y040,0.5539,0,0,0,0,HELMETED,1,0,1
795,W018|Y040,W018,Y040,0.5675,0,0,0,0,HELMETED,0,0,1
796,W018|Y040,W018,Y040,0.5368,0,0,0,0,HELMETED,0,0,0
797,W018|Y040,W018,Y040,0.5903,0,0,0,0,HELMETED,0,0,0
798,W018|Y040,W018,Y040,0.5621,0,0,0,0,HELMETED,0,0,0
799,W018|Y040,W018,Y040,0.5416,0,0,0,0,HELMETED,0,0,0
800,W018|Y040,W018,Y040,0.5318,0,0,0,0,HELMETED,0,0,0
801,W018|Y040,W018,Y040,0.5753,0,0,0,0,HELMETED,0,0,1
802,W018|Y040,W018,Y040,0.5299,0,0,0,0,HELMETED,0,0,1
803,W018|Y040,W018,Y040,0.4810,0,0,0,0,HELMETED,0,0,1
989,W021|Y041,W021,Y041,0.5137,0,0,0,0,NO_HELMET,1,1,1
997,W022|Y042,W022,Y042,0.5787,0,0,0,0,UNKNOWN,0,0,1
998,W022|Y042,W022,Y042,0.5930,0,0,0,0,UNKNOWN,0,0,0
1001,W022|Y042,W022,Y042,0.5427,0,0,0,0,UNKNOWN,0,0,1
1002,W022|Y042,W022,Y042,0.5449,0,0,0,0,UNKNOWN,0,0,1
1003,W022|Y042,W022,Y042,0.5761,0,0,0,0,UNKNOWN,0,0,0
1188,W026|Y043,W026,Y043,0.6494,1,1,1,1,NO_HELMET,2,2,3
1189,W026|Y043,W026,Y043,0.5647,1,0,0,1,NO_HELMET,2,2,1
1196,W026|Y044,W026,Y044,0.3906,1,1,1,1,NO_HELMET,2,2,2
1198,W026|Y044,W026,Y044,0.5113,1,1,1,1,NO_HELMET,2,2,2
1199,W026|Y044,W026,Y044,0.5229,0,1,0,1,NO_HELMET,1,1,2
