frame,target_id,wjh_id,yolo_id,cross_iou,wjh_overload,yolov8n_overload,final_overload,ever_final_overload,helmet_status,wjh_person_evidence_count,wjh_no_helmet_count,yolov8n_person_count
0,W001|Y002,W001,Y002,0.6319,0,0,0,0,NO_HELMET,1,1,1
0,W002|Y001,W002,Y001,0.5093,0,1,0,0,NO_HELMET,1,1,2
3,W002|Y001,W002,Y001,0.5754,0,1,0,0,NO_HELMET,1,1,2
4,W001|Y002,W001,Y002,0.6381,0,0,0,0,NO_HELMET,1,1,1
5,W001|Y002,W001,Y002,0.6499,0,0,0,0,NO_HELMET,1,1,1
5,W002|Y001,W002,Y001,0.4916,0,1,0,0,NO_HELMET,1,1,2
6,W001|Y002,W001,Y002,0.6441,0,0,0,0,NO_HELMET,1,1,1
6,W002|Y001,W002,Y001,0.5127,0,1,0,0,NO_HELMET,1,1,2
7,W001|Y002,W001,Y002,0.6515,0,0,0,0,NO_HELMET,1,1,1
7,W002|Y001,W002,Y001,0.5303,0,1,0,0,NO_HELMET,1,1,2
8,W001|Y002,W001,Y002,0.6538,0,0,0,0,NO_HELMET,1,1,1
8,W002|Y001,W002,Y001,0.5228,0,1,0,0,NO_HELMET,1,1,2
9,W001|Y002,W001,Y002,0.6422,0,1,0,0,NO_HELMET,1,1,2
9,W002|Y001,W002,Y001,0.5150,0,1,0,0,NO_HELMET,1,1,2
10,W001|Y002,W001,Y002,0.6485,0,0,0,0,NO_HELMET,1,1,1
10,W002|Y001,W002,Y001,0.5183,0,0,0,0,NO_HELMET,1,1,1
11,W001|Y002,W001,Y002,0.6617,0,1,0,0,NO_HELMET,1,1,2
11,W002|Y001,W002,Y001,0.4935,0,1,0,0,NO_HELMET,1,1,2
12,W001|Y002,W001,Y002,0.6282,1,1,1,1,NO_HELMET,2,2,2
12,W002|Y001,W002,Y001,0.5142,0,1,0,0,NO_HELMET,1,1,2
13,W001|Y002,W001,Y002,0.6251,0,0,0,1,NO_HELMET,1,1,1
14,W001|Y002,W001,Y002,0.6183,1,0,0,1,NO_HELMET,2,2,1
15,W001|Y002,W001,Y002,0.6290,1,0,0,1,NO_HELMET,2,2,1
15,W002|Y001,W002,Y001,0.5066,0,0,0,0,NO_HELMET,1,1,1
16,W001|Y002,W001,Y002,0.5797,0,0,0,1,NO_HELMET,1,1,1
16,W002|Y001,W002,Y001,0.5052,0,0,0,0,NO_HELMET,1,1,1
17,W001|Y002,W001,Y002,0.5919,0,0,0,1,NO_HELMET,1,1,1
17,W002|Y001,W002,Y001,0.4743,0,0,0,0,NO_HELMET,1,1,1
18,W001|Y002,W001,Y002,0.5885,0,0,0,1,NO_HELMET,1,1,1
18,W002|Y001,W002,Y001,0.4937,0,0,0,0,HELMETED,1,0,1
19,W001|Y002,W001,Y002,0.5925,0,1,0,1,NO_HELMET,1,1,2
20,W001|Y002,W001,Y002,0.6011,0,1,0,1,NO_HELMET,1,1,2
21,W001|Y002,W001,Y002,0.5924,0,0,0,1,NO_HELMET,1,1,1
21,W002|Y001,W002,Y001,0.4592,0,0,0,0,HELMETED,0,0,1
22,W001|Y002,W001,Y002,0.6082,0,1,0,1,NO_HELMET,1,1,2
23,W001|Y002,W001,Y002,0.6300,0,1,0,1,NO_HELMET,1,1,2
24,W001|Y002,W001,Y002,0.7158,0,1,0,1,NO_HELMET,1,1,2
25,W001|Y002,W001,Y002,0.6035,1,1,1,1,NO_HELMET,2,2,2
